행정구역,남_총인구수,여_총인구수
서울특별시 관악구 미성동(1162076500),"14,954","15,606"
서울특별시 관악구 난곡동(1162077500),"13,357","13,267"
서울특별시 영등포구 영등포본동(1156051500),"10,864","10,349"
서울특별시 영등포구 영등포동(1156053500),"15,302","14,128"
서울특별시 영등포구 여의동(1156054000),"15,402","17,438"
서울특별시 영등포구 당산제1동(1156055000),"9,966","10,397"
서울특별시 영등포구 당산제2동(1156056000),"17,651","19,968"
서울특별시 영등포구 도림동(1156058500),"9,003","8,834"
서울특별시 영등포구 문래동(1156060500),"15,895","16,596"
서울특별시 영등포구 양평제1동(1156061000),"8,942","9,408"
서울특별시 영등포구 양평제2동(1156062000),"10,889","11,373"
서울특별시 영등포구 신길제1동(1156063000),"8,840","8,490"
서울특별시 영등포구 신길제3동(1156065000),"8,165","8,343"
서울특별시 영등포구 신길제4동(1156066000),"6,156","6,193"
서울특별시 영등포구 신길제5동(1156067000),"5,071","5,351"
서울특별시 영등포구 신길제6동(1156068000),"9,306","9,742"
서울특별시 영등포구 신길제7동(1156069000),"9,936","9,987"
서울특별시 영등포구 대림제1동(1156070000),"7,168","7,208"
서울특별시 영등포구 대림제2동(1156071000),"5,880","6,049"
서울특별시 영등포구 대림제3동(1156072000),"11,084","11,091"
서울특별시 영등포구 영등포본동(1156051500),"10,864","10,349"
서울특별시 영등포구 영등포동(1156053500),"15,302","14,128"
서울특별시 영등포구 여의동(1156054000),"15,402","17,438"
서울특별시 영등포구 당산제1동(1156055000),"9,966","10,397"
서울특별시 영등포구 당산제2동(1156056000),"17,651","19,968"
서울특별시 영등포구 도림동(1156058500),"9,003","8,834"
서울특별시 영등포구 문래동(1156060500),"15,895","16,596"
서울특별시 영등포구 양평제1동(1156061000),"8,942","9,408"
서울특별시 영등포구 양평제2동(1156062000),"10,889","11,373"
서울특별시 영등포구 신길제1동(1156063000),"8,840","8,490"
서울특별시 영등포구 신길제3동(1156065000),"8,165","8,343"
서울특별시 영등포구 신길제4동(1156066000),"6,156","6,193"
서울특별시 영등포구 신길제5동(1156067000),"5,071","5,351"
서울특별시 영등포구 신길제6동(1156068000),"9,306","9,742"
서울특별시 영등포구 신길제7동(1156069000),"9,936","9,987"
서울특별시 영등포구 대림제1동(1156070000),"7,168","7,208"
서울특별시 영등포구 대림제2동(1156071000),"5,880","6,049"
서울특별시 영등포구 대림제3동(1156072000),"11,084","11,091"
서울특별시 금천구 가산동(1154551000),"12,929","11,017"
서울특별시 금천구 독산제1동(1154561000),"23,291","22,145"
서울특별시 금천구 독산제2동(1154562000),"9,438","9,200"
서울특별시 금천구 독산제3동(1154563000),"12,134","12,100"
서울특별시 금천구 독산제4동(1154564000),"7,588","7,517"
서울특별시 금천구 시흥제1동(1154567000),"16,215","16,492"
서울특별시 금천구 시흥제2동(1154568000),"10,120","10,935"
서울특별시 금천구 시흥제3동(1154569000),"5,320","5,404"
서울특별시 금천구 시흥제4동(1154570000),"10,015","10,237"
서울특별시 금천구 시흥제5동(1154571000),"9,548","9,505"
서울특별시 구로구 신도림동(1153051000),"17,492","18,529"
서울특별시 구로구 구로제1동(1153052000),"10,162","10,594"
서울특별시 구로구 구로제2동(1153053000),"11,898","11,721"
서울특별시 구로구 구로제3동(1153054000),"12,170","11,432"
서울특별시 구로구 구로제4동(1153055000),"9,438","10,074"
서울특별시 구로구 구로제5동(1153056000),"14,284","15,212"
서울특별시 구로구 가리봉동(1153059500),"4,940","4,129"
서울특별시 구로구 고척제1동(1153072000),"10,934","11,039"
서울특별시 구로구 고척제2동(1153073000),"13,117","13,383"
서울특별시 구로구 개봉제1동(1153074000),"16,773","16,894"
서울특별시 구로구 개봉제2동(1153075000),"14,948","15,710"
서울특별시 구로구 개봉제3동(1153076000),"9,813","10,408"
서울특별시 구로구 오류제1동(1153077000),"10,864","11,563"
서울특별시 구로구 오류제2동(1153078000),"18,390","19,869"
서울특별시 구로구 수궁동(1153079000),"11,486","11,811"
서울특별시 구로구 항동(1153080000),"8,054","8,424"
서울특별시 강서구 염창동(1150051000),"20,090","21,500"
서울특별시 강서구 등촌제1동(1150052000),"11,376","13,262"
서울특별시 강서구 등촌제2동(1150053000),"9,778","10,287"
서울특별시 강서구 등촌제3동(1150053500),"14,394","16,067"
서울특별시 강서구 화곡제1동(1150054000),"25,157","26,650"
서울특별시 강서구 화곡제2동(1150055000),"8,562","9,155"
서울특별시 강서구 화곡제3동(1150056000),"10,266","11,282"
서울특별시 강서구 화곡제4동(1150057000),"10,031","10,453"
서울특별시 강서구 화곡본동(1150059000),"16,544","17,661"
서울특별시 강서구 화곡제6동(1150059100),"12,022","12,924"
서울특별시 강서구 화곡제8동(1150059300),"11,752","12,622"
서울특별시 강서구 가양제1동(1150060300),"15,559","18,563"
서울특별시 강서구 가양제2동(1150060400),"6,543","7,323"
서울특별시 강서구 가양제3동(1150060500),"6,926","7,941"
서울특별시 강서구 발산제1동(1150061100),"17,041","19,113"
서울특별시 강서구 우장산동(1150061500),"20,390","22,238"
서울특별시 강서구 공항동(1150062000),"15,462","15,232"
서울특별시 강서구 방화제1동(1150063000),"20,772","21,834"
서울특별시 강서구 방화제2동(1150064000),"11,463","11,778"
서울특별시 강서구 방화제3동(1150064100),"10,973","11,662"
서울특별시 양천구 목1동(1147051000),"14,696","15,837"
서울특별시 양천구 목2동(1147052000),"14,481","15,255"
서울특별시 양천구 목3동(1147053000),"10,404","11,442"
서울특별시 양천구 목4동(1147054000),"12,356","12,921"
서울특별시 양천구 목5동(1147055000),"20,286","20,650"
서울특별시 양천구 신월1동(1147056000),"10,466","9,929"
서울특별시 양천구 신월2동(1147057000),"9,991","10,542"
서울특별시 양천구 신월3동(1147058000),"7,957","7,103"
서울특별시 양천구 신월4동(1147059000),"8,684","9,079"
서울특별시 양천구 신월5동(1147060000),"7,234","7,311"
서울특별시 양천구 신월6동(1147061000),"6,732","7,047"
서울특별시 양천구 신월7동(1147061100),"9,547","9,962"
서울특별시 양천구 신정1동(1147062000),"9,836","10,320"
서울특별시 양천구 신정2동(1147063000),"9,501","9,851"
서울특별시 양천구 신정3동(1147064000),"24,374","25,848"
서울특별시 양천구 신정4동(1147065000),"15,981","16,848"
서울특별시 양천구 신정6동(1147067000),"11,899","12,545"
서울특별시 양천구 신정7동(1147068000),"13,873","14,874"
서울특별시 마포구 아현동(1144055500),"11,759","13,376"
서울특별시 마포구 공덕동(1144056500),"17,397","19,679"
서울특별시 마포구 도화동(1144058500),"10,018","10,982"
서울특별시 마포구 용강동(1144059000),"10,153","11,301"
서울특별시 마포구 대흥동(1144060000),"7,013","7,500"
서울특별시 마포구 염리동(1144061000),"8,079","8,761"
서울특별시 마포구 신수동(1144063000),"10,931","11,515"
서울특별시 마포구 서강동(1144065500),"11,890","12,989"
서울특별시 마포구 서교동(1144066000),"11,380","13,512"
서울특별시 마포구 합정동(1144068000),"7,985","9,255"
서울특별시 마포구 망원제1동(1144069000),"9,300","10,581"
서울특별시 마포구 망원제2동(1144070000),"8,666","9,842"
서울특별시 마포구 연남동(1144071000),"7,027","7,842"
서울특별시 마포구 성산제1동(1144072000),"8,900","10,004"
서울특별시 마포구 성산제2동(1144073000),"17,742","21,725"
서울특별시 마포구 상암동(1144074000),"14,484","16,025"
서울특별시 서대문구 천연동(1141052000),"8,048","8,926"
서울특별시 서대문구 북아현동(1141055500),"7,601","8,221"
서울특별시 서대문구 충현동(1141056500),"9,762","10,509"
서울특별시 서대문구 신촌동(1141058500),"8,910","11,330"
서울특별시 서대문구 연희동(1141061500),"16,596","18,158"
서울특별시 서대문구 홍제제1동(1141062000),"10,984","12,469"
서울특별시 서대문구 홍제제3동(1141064000),"8,411","9,092"
서울특별시 서대문구 홍제제2동(1141065500),"6,368","7,182"
서울특별시 서대문구 홍은제1동(1141066000),"10,978","11,720"
서울특별시 서대문구 홍은제2동(1141068500),"12,688","13,652"
서울특별시 서대문구 남가좌제1동(1141069000),"7,334","8,009"
서울특별시 서대문구 남가좌제2동(1141070000),"14,279","15,335"
서울특별시 서대문구 북가좌제1동(1141071000),"8,590","9,276"
서울특별시 서대문구 북가좌제2동(1141072000),"15,290","16,003"
서울특별시 은평구 녹번동(1138051000),"17,357","19,364"
서울특별시 은평구 불광제1동(1138052000),"18,079","20,326"
서울특별시 은평구 불광제2동(1138053000),"13,228","14,141"
서울특별시 은평구 갈현제1동(1138055100),"10,488","11,002"
서울특별시 은평구 갈현제2동(1138055200),"13,306","14,769"
서울특별시 은평구 구산동(1138056000),"15,683","16,385"
서울특별시 은평구 대조동(1138057000),"12,413","14,392"
서울특별시 은평구 응암제1동(1138058000),"15,614","17,388"
서울특별시 은평구 응암제2동(1138059000),"13,615","14,463"
서울특별시 은평구 응암제3동(1138060000),"11,783","12,465"
서울특별시 은평구 역촌동(1138062500),"21,179","23,963"
서울특별시 은평구 신사제1동(1138063100),"12,922","13,955"
서울특별시 은평구 신사제2동(1138063200),"9,859","9,935"
서울특별시 은평구 증산동(1138064000),"8,051","8,462"
서울특별시 은평구 수색동(1138065000),"6,486","6,718"
서울특별시 은평구 진관동(1138069000),"25,946","29,394"
서울특별시 노원구 월계1동(1135056000),"11,110","10,381"
서울특별시 노원구 월계2동(1135057000),"12,659","13,667"
서울특별시 노원구 월계3동(1135058000),"14,130","15,481"
서울특별시 노원구 공릉1동(1135059500),"17,813","18,855"
서울특별시 노원구 공릉2동(1135060000),"20,372","21,468"
서울특별시 노원구 하계1동(1135061100),"13,027","14,154"
서울특별시 노원구 하계2동(1135061200),"10,358","11,398"
서울특별시 노원구 중계본동(1135061900),"11,564","12,197"
서울특별시 노원구 중계1동(1135062100),"12,940","13,643"
서울특별시 노원구 중계4동(1135062400),"9,473","10,246"
서울특별시 노원구 중계2.3동(1135062500),"15,521","18,314"
서울특별시 노원구 상계1동(1135063000),"18,298","19,532"
서울특별시 노원구 상계2동(1135064000),"9,782","10,064"
서울특별시 노원구 상계3.4동(1135066500),"12,892","13,001"
서울특별시 노원구 상계5동(1135067000),"11,520","12,275"
서울특별시 노원구 상계6.7동(1135069500),"14,956","17,418"
서울특별시 노원구 상계8동(1135070000),"10,701","11,702"
서울특별시 노원구 상계9동(1135071000),"9,537","10,701"
서울특별시 노원구 상계10동(1135072000),"8,569","9,939"
서울특별시 도봉구 창제1동(1132051100),"11,668","12,859"
서울특별시 도봉구 창제2동(1132051200),"14,062","14,856"
서울특별시 도봉구 창제3동(1132051300),"6,892","6,884"
서울특별시 도봉구 창제4동(1132051400),"12,673","13,694"
서울특별시 도봉구 창제5동(1132051500),"11,670","12,742"
