,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,위도,경도,동
29,1,1,1,11,19,2,0,1,37.5230921,127.136944,둔촌1동
30,148,121,2990,4584,82,29,2,0,37.5319657,127.142521,둔촌2동
31,204,103,3917,4453,130,31,2,0,37.5497586,127.14599905,명일1동
32,39,42,2815,2723,32,15,0,1,37.5480751,127.1300518,명일2동
33,229,85,12333,4712,98,37,1,2,37.5518119,127.1652728,상일동
34,126,78,2879,3240,67,28,2,0,37.52893,127.12503,성내1동
35,132,118,3860,4521,99,47,2,0,37.5329049,127.1268052,성내2동
36,123,93,3639,3892,79,29,2,0,37.525568,127.1317124,성내3동
37,186,172,4722,5437,173,90,2,2,37.55127,127.1311585,암사1동
38,152,49,2196,2428,75,22,0,1,37.552662,127.1273471,암사2동
39,94,55,1997,2437,46,13,0,1,37.554982,127.1408239022984,암사3동
40,130,169,3845,4482,197,75,2,2,37.5427264,127.1373558,천호1동
41,175,175,5310,6557,234,72,1,2,37.5385448,127.1234736,천호2동
42,158,134,5240,5205,117,49,1,2,37.5395191,127.1293281,천호3동
43,58,137,3202,3711,64,46,2,0,37.6270848,127.0270683,미아동
44,61,119,2796,3293,69,47,2,0,37.6378469,127.0288300282459,번1동
45,54,121,1533,1949,45,22,0,1,37.62518,127.04868,번2동
46,51,165,1396,1933,45,33,0,1,37.6251367,127.0448336,번3동
