district,price,elected_rate,elected_tf
AA,3549.9,47.01,0
AB,3125.5,43.82,0
AC,3652.2,49.48,1
AD,3713.1,46.67,0
AE,3252.2,46.5,0
AF,3127.5,45.73,0
AG,3220.6,44.65,0
AH,4800.4,51.64,1
AI,4898.4,50.13,1
AJ,3718.1,47.22,0
AK,5032,49.03,1
AL,5290.5,53.2,1
AM,5772.1,56.44,1
AN,7477.6,65.13,1
AO,8256,67.01,1
AP,4100.6,46.97,0
AQ,3728.1,47.47,0
AR,3852.6,49.16,1
AS,6060.3,56.76,1
AT,4535.8,50.96,1
AU,4634.4,51.7,1
AV,4736.9,50.51,1
AW,5011.3,48.82,1
AX,2854.3,44.5,0
AY,3579.2,4516,0
