,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,위도,경도,동
263,128,69,2504,2752,61,30,0,0,0,0,0,37.6061647,127.0256465,길음2동
264,71,68,1536,2025,52,22,0,0,0,0,0,37.6074613,127.0055459,돈암1동
265,114,95,2210,2898,68,30,0,1,2,2,1,37.5980185,127.0105689,돈암2동
266,47,63,3447,3472,56,24,2,0,0,0,0,37.59398735,127.0204361,동선동
267,82,84,2282,2541,60,28,0,0,0,0,0,37.5798459,127.0234001,보문동
268,68,133,3191,3659,78,43,2,1,2,2,1,37.5908535,127.0146619,삼선동
269,162,231,4406,4801,144,53,2,2,1,1,2,37.6049647,127.045229,석관동
270,71,105,2382,2608,71,15,0,0,0,0,0,37.5887605,127.0050308,성북동
271,37,67,3416,3414,48,27,2,0,0,0,0,37.586034,127.021375,안암동
272,138,125,2528,2855,74,44,0,1,2,2,1,37.61056395,127.0357600359999,월곡1동
273,75,113,2807,3149,72,34,2,1,2,2,1,37.6049647,127.045229,월곡2동
274,70,129,6741,2490,83,39,2,1,2,2,1,37.61373,127.03915,장위1동
275,41,100,1927,1842,65,16,0,0,0,0,0,37.609865,127.0524123,장위2동
276,149,92,2312,3654,55,37,2,1,2,2,1,37.6167394,127.0570781,장위3동
277,90,71,2304,2688,65,29,0,0,0,0,0,37.6014313,127.0166804,정릉1동
278,119,130,2656,2960,78,36,0,1,2,2,1,37.6044694,127.0111539,정릉2동
279,67,100,2319,2623,69,20,0,0,0,0,0,37.6085444,127.003904,정릉3동
280,134,149,2622,3131,72,46,0,1,2,2,1,37.6063255,127.0104128,정릉4동
281,189,224,4069,4650,115,51,2,2,1,1,2,37.5919701,127.0365575,종암동
282,326,66,5806,6542,115,34,1,2,1,1,2,37.4980968,127.1037991,가락1동
283,181,95,4201,4992,108,36,2,1,1,2,2,37.4975793,127.1271081,가락2동
284,191,85,3954,4800,122,38,2,1,1,2,2,37.494596,127.1205972,가락본동
285,48,46,1667,2056,53,25,0,0,0,0,0,37.4959276,127.1412445,거여1동
286,95,86,2322,2725,87,37,0,1,2,2,1,37.4935399,127.1468628,거여2동
287,50,152,2109,2710,40,49,0,1,2,2,1,37.4919452,127.15442,마천1동
288,60,129,2133,2732,57,35,0,1,2,2,1,37.4919452,127.15442,마천2동
289,126,77,2863,3538,90,31,2,1,2,2,1,37.50542,127.1391,문정1동
290,183,81,6309,6830,224,46,1,2,1,1,2,37.5041995,127.1302592,문정2동
291,63,56,2141,2617,63,28,0,0,0,0,0,37.5109882,127.1239088,방이1동
292,142,94,6303,6002,161,50,1,2,1,1,2,37.5026982,127.0993482,방이2동
293,165,108,5018,6135,176,54,1,2,1,1,2,37.5027234,127.0925526,삼전동
294,187,94,5358,6269,209,48,1,2,1,1,2,37.5041198,127.1040452,석촌동
295,175,81,4359,5282,158,31,2,2,1,1,2,37.5058895,127.1098693,송파1동
296,95,77,2344,3833,52,25,2,0,0,0,0,37.502328,127.116687,송파2동
297,209,175,4937,5996,115,57,1,2,1,1,2,37.5033781,127.1286118,오금동
298,46,47,1820,2227,26,17,0,0,0,0,0,37.521128,127.1337542,오륜동
299,295,55,13142,4566,71,31,1,2,1,1,2,37.4742312,127.1434465,위례동
300,169,70,4139,4993,64,23,2,1,2,2,1,37.5119198,127.0885141598288,잠실2동
301,170,94,4361,5234,58,40,2,1,2,2,1,37.5133081,127.094409242774,잠실3동
302,113,52,2432,2689,40,9,0,0,0,0,0,37.520124,127.112382176712,잠실4동
303,95,44,2075,2406,56,16,0,0,0,0,0,37.5169432,127.1006198,잠실6동
304,34,42,975,1238,18,11,0,0,0,0,0,37.5068569,127.0746595,잠실7동
305,143,105,5321,5841,131,52,1,2,1,1,2,37.5067395,127.0855685,잠실본동
306,210,124,4416,5128,135,50,2,2,1,1,2,37.4864094,127.1328252,장지동
307,76,69,1415,2313,50,26,0,0,0,0,0,37.5382184,127.1219867,풍납1동
308,144,96,3261,3957,95,24,2,1,2,2,1,37.528733,127.116806,풍납2동
309,100,81,3332,4142,84,37,2,1,2,2,1,37.53037915,126.871157218058,목1동
310,178,121,4189,4662,144,42,2,2,1,1,2,37.5461269,126.8716981945392,목2동
311,157,103,3158,3773,107,32,2,1,2,2,1,37.5447128,126.8644592990214,목3동
312,66,98,2987,3471,60,42,2,1,2,2,1,37.5324073,126.8683621,목4동
313,98,106,4077,5024,52,21,2,1,2,2,1,37.53719715,126.8817296558076,목5동
314,80,125,2377,2734,94,53,0,1,2,2,1,37.51924,126.85754,신월1동
315,100,116,2205,2776,69,43,0,1,2,2,1,37.5192067,126.8706968,신월2동
316,67,116,1924,2358,52,56,0,1,2,2,1,37.51514135,126.854808789051,신월3동
317,85,81,1586,2001,42,32,0,0,0,0,0,37.5240393,126.8587822,신월4동
318,84,69,1849,2204,50,31,0,0,0,0,0,37.51706595,126.8644757540225,신월5동
319,83,31,1599,1493,73,17,0,0,0,0,0,37.5348099,126.8783553,신월6동
320,72,146,2220,2861,70,38,0,1,2,2,1,37.5325257,126.831595,신월7동
321,62,75,2381,2875,35,24,0,0,0,0,0,37.5262271,126.8483313,신정1동
322,36,86,2035,2421,29,18,0,0,0,0,0,37.5319091,126.8276744,신정2동
323,255,187,8459,5231,151,80,1,2,1,1,2,37.51514135,126.854808789051,신정3동
324,145,172,4549,5196,112,54,2,2,1,1,2,37.5371607,126.8291793,신정4동
325,86,68,2725,3201,62,19,2,0,0,0,0,37.517354,126.86448,신정6동
326,121,140,3300,4019,73,44,2,1,2,2,1,37.5214641,126.8361532,신정7동
327,135,85,3591,3940,155,39,2,1,2,2,1,37.5246737,126.897616,당산1동
328,256,127,6580,6517,187,49,1,2,1,1,2,37.5183839,126.8948726,당산2동
329,43,69,1658,1919,57,23,0,0,0,0,0,37.49274,126.90365,대림1동
330,40,50,1635,2044,42,26,0,0,0,0,0,37.4927457,126.8982706,대림2동
331,125,106,2479,3075,98,24,0,1,2,2,1,37.4982976,126.8980585,대림3동
332,110,98,2632,3007,117,27,0,1,2,2,1,37.5092232,126.8949478,도림동
333,272,118,3646,4137,198,38,2,2,1,1,2,37.5168505,126.8992168,문래동
334,64,128,3389,3296,98,32,2,1,2,2,1,37.5127629,126.9221459,신길1동
335,82,94,2100,2321,52,20,0,0,0,0,0,37.5077217,126.9076467,신길3동
