,출생,사망,전입,전출,혼인,이혼,cluster,cluster_s,cluster_sub,cluster_uni,대학 수 ,위도,경도,동
82,62,103,4789,5330,115,39,2,1,2,2,1,37.47495834999999,126.9349991683946,서림동
83,92,106,5360,5494,217,40,1,2,1,1,2,37.4708216,126.9383512,서원동
84,153,145,2722,3623,79,36,2,1,2,2,1,37.4894094,126.9482011,성현동
85,67,68,7367,6736,126,36,1,2,1,1,2,37.48740505,126.9271533163815,신림동
86,50,87,3565,3837,67,38,2,1,2,2,1,37.4819063,126.9273435,신원동
87,160,149,4516,5189,127,52,2,2,1,1,2,37.48524725,126.9424181539992,은천동
88,117,95,4636,4876,106,28,2,1,2,2,1,37.4751124,126.9652287,인헌동
89,66,76,3511,3598,64,38,2,1,2,2,1,37.4827156,126.9078745,조원동
90,39,60,3511,3587,63,15,2,0,0,0,0,37.484114,126.9497942047471,중앙동
91,109,113,8887,8349,154,44,1,2,1,1,2,37.47910325,126.94163715,청룡동
92,109,66,1864,2265,78,15,0,0,0,0,0,37.4918207,126.9586072,청림동
93,128,112,6364,6553,118,26,1,2,1,1,2,37.4806266,126.9570766,행운동
94,139,80,3468,4183,78,27,2,1,2,2,1,37.5452349,127.0988974,광장동
95,91,97,3938,4313,125,33,2,1,2,2,1,37.5435491,127.0864008,구의1동
96,123,125,3388,3713,94,47,2,1,2,2,1,37.547771,127.0902816,구의2동
97,158,116,3625,4244,117,46,2,1,2,2,1,37.5380399,127.0920061,구의3동
98,85,99,3587,3831,93,31,2,1,2,2,1,37.5519973,127.0713059,군자동
99,74,50,2043,2294,66,24,0,0,0,0,0,37.5542428,127.0800908,능동
100,92,124,3673,4011,102,42,2,1,2,2,1,37.5330502,127.0794998,자양1동
101,113,94,2953,3885,89,39,2,1,2,2,1,37.5296488,127.0842557,자양2동
102,154,108,3285,3924,99,26,2,1,2,2,1,37.5338424,127.0728903,자양3동
103,65,123,3112,2763,66,25,2,1,2,2,1,37.5344883,127.0661053,자양4동
104,95,70,2619,2827,102,32,0,1,2,2,1,37.5614397,127.0802968,중곡1동
105,94,103,3176,3604,95,44,2,1,2,2,1,37.5376771,127.06928,중곡2동
106,69,93,2281,2737,74,30,0,0,0,0,0,37.5688317,127.0801796,중곡3동
107,143,133,3495,4190,105,50,2,1,2,2,1,37.559077,127.0894815,중곡4동
108,37,71,6879,6231,94,27,1,1,2,2,1,37.5467536,127.0714156,화양동
109,27,76,1687,1788,45,19,0,0,0,0,0,37.48081,126.89595,가리봉동
110,185,173,3643,4184,148,58,2,2,1,1,2,37.4979691,126.8524264,개봉1동
111,159,140,3068,3909,101,46,2,1,2,2,1,37.4905437,126.8577851,개봉2동
112,94,139,2203,2749,56,38,0,1,2,2,1,37.486637,126.8521901,개봉3동
113,84,106,2297,2987,68,39,0,1,2,2,1,37.4990811,126.8617107,고척1동
114,120,155,2627,3257,48,43,2,1,2,2,1,37.5082046,126.8530379,고척2동
115,147,74,2116,2595,173,36,0,1,2,2,1,37.4918755,126.8760577,구로1동
116,83,159,2655,3208,100,50,2,1,2,2,1,37.4861657,126.8855372,구로2동
117,121,96,4411,4658,122,44,2,1,1,2,2,37.48740095,126.8903998443694,구로3동
118,89,127,2629,3154,88,42,0,1,2,2,1,37.4915913,126.8891239,구로4동
119,184,105,4675,4884,144,30,2,2,1,1,2,37.5007652,126.8867941,구로5동
120,141,107,2834,3246,103,28,2,1,2,2,1,37.494002,126.831446,수궁동
121,285,103,4067,4334,168,51,2,2,1,1,2,37.5073792,126.8794801,신도림동
122,162,104,3800,3883,130,48,2,1,2,2,1,37.5013683,126.8785054,오류1동
123,245,203,4021,4534,115,68,2,2,1,1,2,37.488218,126.8397067,오류2동
124,143,25,1437,1510,62,18,0,0,0,0,0,37.480214,126.823492,항동
125,81,89,6506,5835,167,45,1,2,1,1,2,37.471387,126.8983078,가산동
126,339,209,10101,7329,284,84,1,2,1,1,2,37.4723043,126.8949927,독산1동
127,74,129,2315,2495,76,41,0,1,2,2,1,37.4665376,126.8933658,독산2동
128,75,147,3308,3553,95,53,2,1,2,2,1,37.47513505,126.9032273628488,독산3동
129,63,85,1893,2203,55,29,0,0,0,0,0,37.4511974,126.9062688,독산4동
130,172,177,4196,4859,134,71,2,2,1,1,2,37.4535184,126.9032550462156,시흥1동
131,81,108,1932,2392,64,20,0,0,0,0,0,37.4496013,126.9144265,시흥2동
132,37,59,1178,1415,35,22,0,0,0,0,0,37.44025655,126.9057992102459,시흥3동
133,91,103,2065,2454,76,48,0,1,2,2,1,37.4610734,126.9096003,시흥4동
134,79,139,2169,2512,75,47,0,1,2,2,1,37.4522005,126.9081009,시흥5동
135,169,193,4749,5616,107,78,1,2,1,1,2,37.62479985,127.0738333034867,공릉1동
136,202,152,6366,5675,129,40,1,2,1,1,2,37.6203639,127.0828298,공릉2동
137,101,50,3657,2556,89,22,2,0,0,0,0,37.6584915,127.0646714,상계10동
138,132,227,3849,4459,121,62,2,2,1,1,2,37.67985835,127.0548906,상계1동
139,62,101,2575,2966,47,31,0,0,0,0,0,37.6604728,127.0672426,상계2동
140,87,207,2291,2875,69,62,0,1,2,2,1,37.6729272,127.0832564,상계3.4동
141,74,150,2622,3096,65,55,0,1,2,2,1,37.6643171,127.0666903,상계5동
142,172,138,3917,4781,145,51,2,2,2,1,1,37.6548557,127.0670160087209,상계6.7동
143,309,85,3109,3671,286,26,2,2,1,1,2,37.66728,127.05394,상계8동
144,124,91,2318,3000,77,29,0,1,2,2,1,37.6644903,127.0638556529496,상계9동
145,82,120,2843,3560,62,43,2,1,2,2,1,37.6149158,127.0647959,월계1동
146,127,186,2391,3122,79,45,0,1,2,2,1,37.6323479,127.0508606,월계2동
147,193,168,3146,3816,126,43,2,1,2,2,1,37.6307063,127.0631762,월계3동
148,32,89,2928,3496,28,24,2,0,0,0,0,37.652548,127.0774758,중계1동
149,148,274,2980,4024,126,45,2,2,2,1,1,37.6421309,127.0687063,중계2.3동
150,58,127,1793,2404,50,33,0,0,0,0,0,37.6587711,127.078,중계4동
151,44,97,2535,3288,29,30,2,0,0,0,0,37.6462176,127.0816372,중계본동
152,77,135,2725,3509,67,36,2,1,2,2,1,37.6584915,127.0646714,하계1동
153,59,109,1942,2559,63,27,0,0,0,0,0,37.6319755,127.06795095,하계2동
154,55,180,2501,2777,53,48,0,1,2,2,1,37.6755559,127.0436147,도봉1동
155,134,204,3248,3928,81,58,2,1,2,2,1,37.6696587,127.0465179,도봉2동
156,85,174,3728,3832,76,59,2,1,2,2,1,37.6641126,127.04052,방학1동
157,52,156,2251,2651,62,51,0,1,2,2,1,37.66307,127.02764,방학2동
158,94,120,2329,3057,75,34,0,1,2,2,1,37.65915755,127.0280225451754,방학3동
159,84,132,2707,2967,65,44,0,1,2,2,1,37.647923,127.025877,쌍문1동
160,76,123,2372,2716,64,52,0,1,2,2,1,37.6580005,127.038856,쌍문2동
161,57,93,2448,2462,56,29,0,0,0,0,0,37.6479673,127.0293845,쌍문3동
162,49,82,1872,2374,48,41,0,0,0,0,0,37.66307,127.02764,쌍문4동
163,104,142,2911,3427,72,41,2,1,2,2,1,37.6585558,127.0346127,창1동
164,134,145,3403,3856,101,55,2,1,2,2,1,37.6416389,127.0363754,창2동
165,39,100,1607,1925,40,34,0,0,0,0,0,37.6395232,127.0428137,창3동
166,132,136,2691,3389,80,30,2,1,2,2,1,37.65223684999999,127.0516348581459,창4동
167,123,133,2827,3321,90,35,2,1,2,2,1,37.6563472,127.043619,창5동
168,239,111,4321,4275,138,42,2,2,1,1,2,37.563476,127.0582719,답십리1동
169,203,153,3015,3736,113,34,2,1,2,2,1,37.5674043,127.0613008,답십리2동
170,131,192,6633,5762,172,63,1,2,1,1,2,37.5758133,127.0372885264926,용신동
171,42,102,3344,3417,44,19,2,0,0,0,0,37.5910468,127.0673671,이문1동
172,87,109,2150,2487,51,24,0,0,0,0,0,37.6038427,127.0664774,이문2동
173,207,191,5083,5251,163,72,1,2,1,1,2,37.567825,127.066442,장안1동
174,213,149,3782,4239,100,73,2,2,2,1,1,37.5784903,127.0705968,장안2동
175,154,185,3720,4279,139,58,2,2,1,1,2,37.5779625,127.0481235,전농1동
176,81,122,1584,2056,41,23,0,0,0,0,0,37.5699527,127.0488074,전농2동
177,100,208,3772,3800,79,31,2,1,2,2,1,37.583117,127.0378458,제기동
178,56,173,2058,2747,49,46,0,1,2,2,1,37.5862577,127.0472758,청량리동
179,28,50,2576,2423,34,10,0,0,0,0,0,37.5907782,127.0553568843636,회기동
180,76,66,3048,2661,46,18,0,0,0,0,0,37.5933701,127.0685208,휘경1동
181,85,100,3869,3898,59,42,2,1,2,2,1,37.5840067,127.0681085,휘경2동
182,174,169,5978,6099,127,35,1,2,1,1,2,37.5123107,126.9420168,노량진1동
183,34,88,2455,4176,35,18,2,0,0,0,0,37.5083919,126.9373633521789,노량진2동
184,138,171,5306,5985,139,46,1,2,1,1,2,37.5092532,126.9284117,대방동
185,108,79,4857,5014,149,44,2,1,1,2,2,37.4828484,126.9792285,사당1동
186,188,125,5018,4265,132,37,2,2,1,1,2,37.4918913,126.9766919,사당2동
187,165,115,3358,3929,89,26,2,1,2,2,1,37.4867741,126.9713152,사당3동
188,86,54,2336,2574,66,19,0,0,0,0,0,37.4807808,126.9689749,사당4동
189,107,57,1958,2199,103,21,0,0,0,0,0,37.4856628,126.9669792,사당5동
190,183,196,7057,7950,164,46,1,2,1,1,2,37.5011882,126.9536242,상도1동
