,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
390,평창동,1302,4963,6265,20.78212291,,,,,,,,,,,,,
391,풍납1동,1869,3907,5776,32.35803324,,,,,,,,,,,,,
392,풍납2동,2880,6927,9807,29.36677883,,,,,,,,,,,,,
393,필동,1020,883,1903,53.59957961,,,,,,,,,,,,,
394,하계1동,3265,7351,10616,30.75546345,,,,,,,,,,,,,
395,하계2동,1481,6443,7924,18.69005553,,,,,,,,,,,,,
396,한강로동,3755,5030,8785,42.74331246,,,,,,,,,,,,,
397,한남동,4154,5281,9435,44.02755697,,,,,,,,,,,,,
398,합정동,3699,4581,8280,44.67391304,,,,,,,,,,,,,
399,항동,1358,4630,5988,22.67869071,,,,,,,,,,,,,
400,행당1동,1930,3818,5748,33.57689631,,,,,,,,,,,,,
401,행당2동,1764,6983,8747,20.16691437,,,,,,,,,,,,,
402,행운동,9674,6716,16390,59.023795,,,,,,,,,,,,,
403,혜화동,4925,3880,8805,55.93412834,,,,,,,,,,,,,
404,홍은1동,2538,6329,8867,28.6229841,,,,,,,,,,,,,
405,홍은2동,3769,7408,11177,33.72103427,,,,,,,,,,,,,
406,홍제1동,2736,6805,9541,28.67623939,,,,,,,,,,,,,
407,홍제2동,1443,4050,5493,26.26979792,,,,,,,,,,,,,
408,홍제3동,2027,4436,6463,31.36314405,,,,,,,,,,,,,
409,화곡1동,10238,14196,24434,41.90063027,,,,,,,,,,,,,
410,화곡2동,2322,5230,7552,30.74682203,,,,,,,,,,,,,
411,화곡3동,2282,6096,8378,27.2380043,,,,,,,,,,,,,
412,화곡4동,2969,5942,8911,33.31837055,,,,,,,,,,,,,
413,화곡6동,4182,6611,10793,38.74733624,,,,,,,,,,,,,
414,화곡8동,3346,7293,10639,31.45032428,,,,,,,,,,,,,
415,화곡본동,5647,9423,15070,37.47179827,,,,,,,,,,,,,
416,화양동,12704,3917,16621,76.43342759,,,,,,,,,,,,,
417,황학동,2963,3250,6213,47.69032673,,,,,,,,,,,,,
418,회기동,4044,2284,6328,63.90644753,,,,,,,,,,,,,
419,회현동,867,1141,2008,43.17729084,,,,,,,,,,,,,
420,효창동,1082,2840,3922,27.58796532,,,,,,,,,,,,,
421,후암동,2800,4483,7283,38.44569546,,,,,,,,,,,,,
422,휘경1동,3336,3307,6643,50.21827488,,,,,,,,,,,,,
423,휘경2동,4785,6130,10915,43.83875401,,,,,,,,,,,,,
424,흑석동,4562,8849,13411,34.01685184,,,,,,,,,,,,,
