,동,1인가구,etc,합계,비율,,,,,,,,,,,,,
90,둔촌1동,6,0,6,100,,,,,,,,,,,,,
91,둔촌2동,2389,7551,9940,24.03420523,,,,,,,,,,,,,
92,등촌1동,6021,5937,11958,50.3512293,,,,,,,,,,,,,
93,등촌2동,2147,5965,8112,26.46696252,,,,,,,,,,,,,
94,등촌3동,5335,8833,14168,37.6552795,,,,,,,,,,,,,
95,마장동,3674,6045,9719,37.80224303,,,,,,,,,,,,,
96,마천1동,2403,5496,7899,30.42157235,,,,,,,,,,,,,
97,마천2동,2296,5490,7786,29.4888261,,,,,,,,,,,,,
98,망우3동,2695,4664,7359,36.62182362,,,,,,,,,,,,,
99,망우본동,4734,8126,12860,36.8118196,,,,,,,,,,,,,
100,망원1동,3829,5499,9328,41.04845626,,,,,,,,,,,,,
101,망원2동,2398,5278,7676,31.24022929,,,,,,,,,,,,,
102,면목2동,3974,6715,10689,37.17840771,,,,,,,,,,,,,
103,면목3.8동,4347,6916,11263,38.59540087,,,,,,,,,,,,,
104,면목4동,2678,5165,7843,34.14509754,,,,,,,,,,,,,
105,면목5동,1540,4167,5707,26.98440512,,,,,,,,,,,,,
106,면목7동,3294,6185,9479,34.75050111,,,,,,,,,,,,,
107,면목본동,6360,9266,15626,40.70139511,,,,,,,,,,,,,
108,명동,581,479,1060,54.81132075,,,,,,,,,,,,,
109,명일1동,1698,7617,9315,18.22866345,,,,,,,,,,,,,
110,명일2동,763,4773,5536,13.78251445,,,,,,,,,,,,,
111,목1동,1189,8754,9943,11.95816152,,,,,,,,,,,,,
112,목2동,3752,8339,12091,31.03134563,,,,,,,,,,,,,
113,목3동,2963,6218,9181,32.27317286,,,,,,,,,,,,,
114,목4동,2280,6999,9279,24.57161332,,,,,,,,,,,,,
115,목5동,1185,11681,12866,9.210321778,,,,,,,,,,,,,
116,무악동,494,2389,2883,17.13492889,,,,,,,,,,,,,
117,묵1동,3741,9819,13560,27.58849558,,,,,,,,,,,,,
118,묵2동,3049,5307,8356,36.4887506,,,,,,,,,,,,,
119,문래동,2947,9233,12180,24.1954023,,,,,,,,,,,,,
120,문정1동,2134,5720,7854,27.17086835,,,,,,,,,,,,,
121,문정2동,7515,7075,14590,51.50788211,,,,,,,,,,,,,
122,미성동,4186,8577,12763,32.79793152,,,,,,,,,,,,,
123,미아동,4807,5715,10522,45.68523094,,,,,,,,,,,,,
124,반포1동,5087,7890,12977,39.2001233,,,,,,,,,,,,,
125,반포2동,314,4277,4591,6.839468525,,,,,,,,,,,,,
126,반포3동,910,6126,7036,12.93348493,,,,,,,,,,,,,
127,반포4동,1110,5294,6404,17.33291693,,,,,,,,,,,,,
128,반포본동,354,3243,3597,9.841534612,,,,,,,,,,,,,
129,발산1동,2152,10581,12733,16.90096599,,,,,,,,,,,,,
130,방배1동,2318,4655,6973,33.24250681,,,,,,,,,,,,,
131,방배2동,2182,5526,7708,28.30825117,,,,,,,,,,,,,
132,방배3동,1472,5935,7407,19.87309302,,,,,,,,,,,,,
133,방배4동,2585,6332,8917,28.98957048,,,,,,,,,,,,,
134,방배본동,1683,5625,7308,23.02955665,,,,,,,,,,,,,
135,방이1동,1381,4371,5752,24.00904033,,,,,,,,,,,,,
136,방이2동,6641,6433,13074,50.79547193,,,,,,,,,,,,,
137,방학1동,3502,8039,11541,30.34399099,,,,,,,,,,,,,
138,방학2동,2768,5705,8473,32.66847634,,,,,,,,,,,,,
139,방학3동,1399,8138,9537,14.66918318,,,,,,,,,,,,,
140,방화1동,3791,12395,16186,23.42147535,,,,,,,,,,,,,
141,방화2동,4206,6006,10212,41.18683901,,,,,,,,,,,,,
142,방화3동,3815,6549,10364,36.81011193,,,,,,,,,,,,,
143,번1동,4380,4868,9248,47.3615917,,,,,,,,,,,,,
144,번2동,2250,4736,6986,32.20727169,,,,,,,,,,,,,
145,번3동,2002,5140,7142,28.03136376,,,,,,,,,,,,,
146,보광동,3121,3522,6643,46.98178534,,,,,,,,,,,,,
147,보라매동,5182,6335,11517,44.99435617,,,,,,,,,,,,,
148,보문동,3011,4136,7147,42.12956485,,,,,,,,,,,,,
149,부암동,1129,2644,3773,29.92313809,,,,,,,,,,,,,
150,북가좌1동,1172,5311,6483,18.07805029,,,,,,,,,,,,,
151,북가좌2동,4463,9117,13580,32.86450663,,,,,,,,,,,,,
152,북아현동,2261,4606,6867,32.92558614,,,,,,,,,,,,,
153,불광1동,4730,11259,15989,29.5828382,,,,,,,,,,,,,
154,불광2동,4589,7995,12584,36.46694215,,,,,,,,,,,,,
155,사근동,4754,2396,7150,66.48951049,,,,,,,,,,,,,
156,사당1동,6345,5705,12050,52.65560166,,,,,,,,,,,,,
157,사당2동,3025,7662,10687,28.3054178,,,,,,,,,,,,,
158,사당3동,2583,6939,9522,27.12665406,,,,,,,,,,,,,
159,사당4동,2651,3859,6510,40.72196621,,,,,,,,,,,,,
160,사당5동,2007,4085,6092,32.9448457,,,,,,,,,,,,,
161,사직동,1487,2352,3839,38.73404532,,,,,,,,,,,,,
162,삼각산동,2021,9014,11035,18.31445401,,,,,,,,,,,,,
163,삼선동,4790,5987,10777,44.44650645,,,,,,,,,,,,,
164,삼성1동,1433,3542,4975,28.8040201,,,,,,,,,,,,,
165,삼성2동,4236,7633,11869,35.68961159,,,,,,,,,,,,,
166,삼성동,3132,6674,9806,31.9396288,,,,,,,,,,,,,
167,삼양동,3023,6802,9825,30.76844784,,,,,,,,,,,,,
168,삼전동,6327,8199,14526,43.55638166,,,,,,,,,,,,,
169,삼청동,380,651,1031,36.85741998,,,,,,,,,,,,,
170,상계10동,1431,4817,6248,22.90332907,,,,,,,,,,,,,
171,상계1동,3454,11084,14538,23.75842619,,,,,,,,,,,,,
172,상계2동,2415,5546,7961,30.335385,,,,,,,,,,,,,
173,상계3.4동,3275,7609,10884,30.09004043,,,,,,,,,,,,,
174,상계5동,3030,6995,10025,30.2244389,,,,,,,,,,,,,
175,상계6.7동,3524,9520,13044,27.01625268,,,,,,,,,,,,,
176,상계8동,1954,6784,8738,22.36209659,,,,,,,,,,,,,
177,상계9동,1765,6229,7994,22.07905929,,,,,,,,,,,,,
178,상도1동,8604,11563,20167,42.66375762,,,,,,,,,,,,,
179,상도2동,4013,7491,11504,34.88351878,,,,,,,,,,,,,
180,상도3동,4214,6688,10902,38.65345808,,,,,,,,,,,,,
181,상도4동,4618,7862,12480,37.00320513,,,,,,,,,,,,,
182,상봉1동,2377,7047,9424,25.22283531,,,,,,,,,,,,,
183,상봉2동,5309,4958,10267,51.70936009,,,,,,,,,,,,,
184,상암동,3741,8312,12053,31.03791587,,,,,,,,,,,,,
185,상일동,1441,9543,10984,13.1190823,,,,,,,,,,,,,
186,서강동,4380,6465,10845,40.38727524,,,,,,,,,,,,,
187,서교동,8192,5695,13887,58.9904227,,,,,,,,,,,,,
188,서림동,7735,5232,12967,59.65142284,,,,,,,,,,,,,
189,서빙고동,1178,3519,4697,25.07983819,,,,,,,,,,,,,
190,서원동,7607,5314,12921,58.87315223,,,,,,,,,,,,,
191,서초1동,3203,5295,8498,37.69122146,,,,,,,,,,,,,
192,서초2동,3238,5093,8331,38.86688273,,,,,,,,,,,,,
193,서초3동,4851,8077,12928,37.52320545,,,,,,,,,,,,,
194,서초4동,1529,8478,10007,15.27930449,,,,,,,,,,,,,
195,석관동,5492,9927,15419,35.61839289,,,,,,,,,,,,,
196,석촌동,6716,8600,15316,43.84956908,,,,,,,,,,,,,
197,성내1동,1808,5705,7513,24.06495408,,,,,,,,,,,,,
198,성내2동,5143,6275,11418,45.0429147,,,,,,,,,,,,,
199,성내3동,3134,6420,9554,32.80301444,,,,,,,,,,,,,
