,주민센터,주소,위도,경도
75,자양2동 주민센터,서울특별시 광진구 자양로3가길 26,37.5296488,127.0842557
76,자양3동 주민센터,서울특별시 광진구 뚝섬로 568,37.5338424,127.0728903
77,자양제4동 주민센터,서울특별시 광진구 뚝섬로26길 58,37.5344883,127.0661053
78,화양동 주민센터,서울특별시 광진구 능동로17길 39,37.5467536,127.0714156
79,군자동 주민센터,서울특별시 광진구 군자로 151,37.5519973,127.0713059
80,용신동 주민센터,서울특별시 동대문구 천호대로27길 35,37.5758133,127.03728852649259
81,제기동 주민센터,서울특별시 동대문구 약령시로 71,37.583117,127.0378458
82,전농1동 주민센터,서울특별시 동대문구 서울시립대로9길 21,37.5779625,127.0481235
83,전농2동 주민센터,서울특별시 동대문구 사가정로 137,37.5699527,127.0488074
84,답십리1동 주민센터,서울특별시 동대문구 고미술로 12,37.563476,127.0582719
85,답십리2동 주민센터,서울특별시 동대문구 한천로11길 18,37.5674043,127.0613008
86,장안1동 주민센터,서울특별시 동대문구 한천로18길 52,37.567825,127.066442
87,장안2동 주민센터,서울특별시 동대문구 사가정로 230-1,37.5784903,127.0705968
88,청량리동 주민센터,서울특별시 동대문구 왕산로43다길 5,37.5862577,127.0472758
89,회기동 주민센터,서울특별시 동대문구 회기로25길 12-1,37.5907782,127.05535688436365
90,휘경1동 주민센터,서울특별시 동대문구 외대역동로6길 3,37.5933701,127.0685208
91,휘경2동 주민센터,서울특별시 동대문구 한천로 329,37.5840067,127.0681085
92,이문1동 주민센터,서울특별시 동대문구 외대역동로 114-1,37.5910468,127.0673671
93,이문2동 주민센터,서울특별시 동대문구 신이문로 27-5,37.6038427,127.0664774
94,면목2동 주민센터,서울특별시 중랑구 동일로101길 20-15,37.5897636,127.0790416
95,"면목3,8동 주민센터",서울특별시 중랑구 사가정로51길 48,37.5829594,127.0880821
96,면목4동 주민센터,서울특별시 중랑구 면목로 246,37.5945908,127.0859844
97,면목5동 주민센터,서울특별시 중랑구 동일로 619,37.6000886,127.0793834
98,면목7동 주민센터,서울특별시 중랑구 면목로 298,37.5945908,127.0859844
99,면목본동 주민센터,서울특별시 중랑구 면목로 397,37.587364,127.087499
100,상봉1동 주민센터,서울특별시 중랑구 상봉중앙로1길 6,37.5992868,127.08768581529272
101,상봉2동 주민센터,서울특별시 중랑구 봉우재로 93-5,37.5893617,127.07421
102,중화1동 주민센터,서울특별시 중랑구 동일로134길 17,37.60114675,127.0806413557903
103,중화2동 주민센터,서울특별시 중랑구 봉화산로3길 28,37.6087589,127.0750519
104,묵1동 주민센터,서울특별시 중랑구 공릉로2가길 5,37.6137081,127.0787915
105,묵2동 주민센터,서울특별시 중랑구 동일로157길 29,37.6096085,127.0760267
106,망우3동 주민센터,서울특별시 중랑구 용마산로 461,37.6056885,127.1008639
107,망우본동 주민센터,서울특별시 중랑구 망우로67길 10,37.60056585,127.10150471760895
108,신내1동 주민센터,서울특별시 중랑구 용마산로129나길 35,37.6059303,127.09952856699135
109,신내2동 주민센터,서울특별시 중랑구 봉화산로 190,37.60625615,127.09420877849851
110,성북동 주민센터,서울특별시 성북구 성북로 37,37.5887605,127.0050308
111,돈암1동 주민센터,서울특별시 성북구 정릉로 394,37.6074613,127.0055459
112,돈암2동 주민센터,서울특별시 성북구 흥천사길 7,37.5980185,127.0105689
113,삼선동 주민센터,서울특별시 성북구 보문로 190,37.5908535,127.0146619
114,동선동 주민센터,서울특별시 성북구 동소문로26길 27,37.59398735,127.02043610000001
115,안암동 주민센터,서울특별시 성북구 인촌로 16,37.586034,127.021375
116,보문동 주민센터,서울특별시 성북구 안암로3길 35,37.5798459,127.0234001
117,정릉1동 주민센터,서울특별시 성북구 정릉로38마길 33,37.6014313,127.0166804
118,정릉2동 주민센터,서울특별시 성북구 정릉로26길 1,37.6044694,127.0111539
119,정릉3동 주민센터,서울특별시 성북구 솔샘로1길 6-3,37.6085444,127.003904
120,정릉4동 주민센터,서울특별시 성북구 보국문로 106-1,37.6063255,127.0104128
121,길음1동 주민센터,서울특별시 성북구 길음로 92,37.6146362,127.0165792
122,길음2동 주민센터,서울특별시 성북구 삼양로2길 70,37.6061647,127.0256465
123,종암동 주민센터,서울특별시 성북구 종암로 98-8,37.5919701,127.0365575
124,월곡1동 주민센터,서울특별시 성북구 오패산로 96,37.61056395,127.03576003599989
125,월곡2동 주민센터,서울특별시 성북구 화랑로 152,37.6049647,127.045229
126,장위1동 주민센터,서울특별시 성북구 장위로 61,37.61373,127.03915
127,장위2동 주민센터,서울특별시 성북구 돌곶이로27길 12,37.609865,127.0524123
128,장위3동 주민센터,서울특별시 성북구 한천로 657,37.6167394,127.0570781
129,석관동 주민센터,서울특별시 성북구 화랑로 296,37.6049647,127.045229
130,미아동 주민센터,서울특별시 강북구 솔매로49길 14,37.6270848,127.0270683
131,삼각산동 주민센터,서울특별시 강북구 삼양로19길 102,37.61629165,127.01842428127358
132,삼양동 주민센터,서울특별시 강북구 삼양로 268,37.6273418,127.0183872
133,송중동 주민센터,서울특별시 강북구 오패산로 162,37.6161293,127.0337833
134,송천동 주민센터,서울특별시 강북구 솔샘로 284,37.6183081,127.0238655
135,번1동 주민센터,서울특별시 강북구 덕릉로41길 74,37.6378469,127.02883002824589
136,번2동 주민센터,서울특별시 강북구 한천로 897,37.62518,127.04868
137,번3동 주민센터,서울특별시 강북구 한천로105길 21,37.6251367,127.0448336
138,수유1동 주민센터,서울특별시 강북구 삼양로 299,37.61622,127.02204
139,수유2동 주민센터,서울특별시 강북구 한천로 1117,37.62518,127.04868
140,수유3동 주민센터,서울특별시 강북구 노해로 36,37.6456937,127.0233309
141,우이동 주민센터,서울특별시 강북구 삼양로139길 49,37.6479732,127.0115593
142,인수동 주민센터,서울특별시 강북구 인수봉로 255,37.6414795,127.0106302
143,쌍문1동 주민센터,서울특별시 도봉구 노해로 147,37.647923,127.025877
144,쌍문2동 주민센터,서울특별시 도봉구 방학로3길 117,37.6580005,127.038856
145,쌍문3동 주민센터,서울특별시 도봉구 노해로44길 9,37.6479673,127.0293845
146,쌍문4동 주민센터,서울특별시 도봉구 시루봉로 62-7,37.66307,127.02764
147,방학1동 주민센터,서울특별시 도봉구 방학로2길 27,37.6641126,127.04052
148,방학2동 주민센터,서울특별시 도봉구 시루봉로 226,37.66307,127.02764
149,방학3동 주민센터,서울특별시 도봉구 시루봉로 94,37.65915755,127.02802254517543
150,창1동 주민센터,서울특별시 도봉구 해등로 46,37.6585558,127.0346127
151,창2동 주민센터,서울특별시 도봉구 덕릉로59길 73-3,37.6416389,127.0363754
152,창3동 주민센터,서울특별시 도봉구 덕릉로62길 89,37.6395232,127.0428137
153,창4동 주민센터,서울특별시 도봉구 노해로 390,37.652236849999994,127.05163485814589
154,창5동 주민센터,서울특별시 도봉구 도봉로136나길 20,37.6563472,127.043619
155,도봉1동 주민센터,서울특별시 도봉구 도봉로169나길 22,37.6755559,127.0436147
156,도봉2동 주민센터,서울특별시 도봉구 마들로 668,37.6696587,127.0465179
157,월계1동 주민센터,서울특별시 노원구 석계로 59,37.6149158,127.0647959
158,월계2동 주민센터,서울특별시 노원구 초안산로5길 28,37.6323479,127.0508606
159,월계3동 주민센터,서울특별시 노원구 마들로 57,37.6307063,127.0631762
160,공릉1동 주민센터,서울특별시 노원구 동일로186길 3-24,37.62479985,127.07383330348671
161,공릉2동 주민센터,서울특별시 노원구 노원로1길 68,37.6203639,127.0828298
162,하계1동 주민센터,서울특별시 노원구 노원로 261,37.6584915,127.0646714
163,하계2동 주민센터,서울특별시 노원구 공릉로55길 88,37.631975499999996,127.06795095000001
164,상계10동 주민센터,서울특별시 노원구 노원로 530,37.6584915,127.0646714
165,상계1동 주민센터,서울특별시 노원구 동일로 1697,37.67985835,127.0548906
166,상계2동 주민센터,서울특별시 노원구 상계로23길 17,37.6604728,127.0672426
167,상계3.4동주민센터,서울특별시 노원구 덕릉로 859,37.6729272,127.0832564
168,상계5동 주민센터,서울특별시 노원구 한글비석로 434,37.6643171,127.0666903
169,상계6.7동주민센터,서울특별시 노원구 노원로 429,37.6548557,127.06701600872094
170,상계8동 주민센터,서울특별시 노원구 동일로227길 97,37.66728,127.05394
171,상계9동 주민센터,서울특별시 노원구 한글비석로 487,37.6644903,127.06385565294958
172,중계1동 주민센터,서울특별시 노원구 한글비석로 279,37.652548,127.0774758
173,중계2.3동 주민센터,서울특별시 노원구 노원로17길 56,37.6421309,127.0687063
174,중계4동 주민센터,서울특별시 노원구 덕릉로82길 50,37.6587711,127.078
175,중계본동 주민센터,서울특별시 노원구 중계로 143,37.6462176,127.0816372
176,수색동 주민센터,서울특별시 은평구 은평터널로 27,37.594877,126.91038009409243
177,녹번동 주민센터,서울특별시 은평구 은평로 195,37.5979948,126.9136836
178,불광1동 주민센터,서울특별시 은평구 진흥로15길 10,37.610389,126.93211262696286
179,불광2동 주민센터,서울특별시 은평구 연서로41길 16,37.6263847,126.9272304
180,갈현1동 주민센터,서울특별시 은평구 갈현로 301,37.6236538,126.91666656414473
181,갈현2동 주민센터,서울특별시 은평구 연서로27길 31-6,37.6185062,126.9158164842187
182,구산동 주민센터,서울특별시 은평구 갈현로17길 10,37.6111833,126.9100301
183,대조동 주민센터,서울특별시 은평구 연서로20길 24-3,37.6136854,126.9206302
184,응암1동 주민센터,서울특별시 은평구 백련산로 179,37.5999132,126.926471
185,응암2동 주민센터,서울특별시 은평구 백련산로 100,37.59461935,126.92309587338673
186,응암3동 주민센터,서울특별시 은평구 불광천길 410-17,37.5922353,126.91574998126424
187,역촌동 주민센터,서울특별시 은평구 연서로 59,37.6208433,126.9244467
188,신사1동 주민센터,서울특별시 은평구 은평로2길 2,37.59778255,126.91181576752678
189,신사2동 주민센터,서울특별시 은평구 증산로15길 47,37.5898793,126.9106113
190,증산동 주민센터,서울특별시 은평구 증산서길 89,37.5843584,126.90702314605502
191,진관동 주민센터,서울특별시 은평구 진관2로 31,37.6349044,126.9210617
192,천연동 주민센터,서울특별시 서대문구 성산로 694,37.5666295,126.9246236
193,북아현동 주민센터,서울특별시 서대문구 북아현로 24,37.55943405,126.95699202876715
194,충현동 주민센터,서울특별시 서대문구 북아현로22길 38,37.5647995,126.9547025
195,홍제1동 주민센터,서울특별시 서대문구 통일로 435-1,37.5960059,126.9388009
196,홍제2동 주민센터,서울특별시 서대문구 통일로34길 27,37.5861065,126.9493764
197,홍제3동 주민센터,서울특별시 서대문구 세검정로4길 32,37.5937788,126.9497219
198,신촌동 주민센터,서울특별시 서대문구 이화여대길 92-8,37.5591393,126.9434279
199,연희동 주민센터,서울특별시 서대문구 연희로 189,37.5913488,126.9398535
200,홍은1동 주민센터,서울특별시 서대문구 홍은중앙로 85,37.5988595,126.94717270203958
201,홍은2동 주민센터,서울특별시 서대문구 모래내로 334,37.5801524,126.9341838
202,북가좌1동 주민센터,서울특별시 서대문구 수색로 100-55,37.5733702,126.9115745
