,출생비_k,사망비_k,혼인비_k,이혼비_k,전입_s,전출_s,동,cluster_rate
113,0.003804176,0.004800507,0.003079571,0.001766224,-0.578183428,-0.384624066,고척1동,1
114,0.004521477,0.005840241,0.001808591,0.001620196,-0.394705605,-0.211512687,고척2동,1
115,0.007067647,0.003557863,0.008317708,0.001730852,-0.678818234,-0.635956141,구로1동,1
116,0.003508624,0.006721339,0.004227257,0.002113629,-0.379137789,-0.242929196,구로2동,2
117,0.005132991,0.004072456,0.005175413,0.001866542,0.597186628,0.686743022,구로3동,0
118,0.004545222,0.006485879,0.004494152,0.002144936,-0.393593618,-0.277551472,구로4동,2
119,0.006244697,0.00356355,0.004887154,0.001018157,0.743968887,0.831643657,구로5동,0
120,0.006036476,0.004580872,0.004409624,0.001198733,-0.27961497,-0.218565373,수궁동,2
121,0.007911832,0.002859364,0.004663817,0.001415801,0.405924897,0.479009367,신도림동,0
122,0.00720865,0.004627776,0.005784719,0.002135896,0.257474658,0.18984925,오류1동,2
123,0.006388027,0.005292937,0.002998462,0.001773003,0.380349201,0.607240018,오류2동,2
124,0.008697768,0.001520589,0.00377106,0.001094824,-1.056337755,-1.331607421,항동,1
125,0.00339395,0.003729154,0.006997402,0.001885528,1.76199281,1.441380401,가산동,0
126,0.007479646,0.004611345,0.006266134,0.001853364,3.760789097,2.399263363,독산1동,0
127,0.003962092,0.006906891,0.004069176,0.002195213,-0.568175547,-0.700071466,독산2동,1
128,0.003092273,0.006060856,0.00391688,0.002185207,-0.016074096,-0.021731324,독산3동,2
129,0.004172738,0.005629885,0.003642867,0.001920784,-0.802804763,-0.887288217,독산4동,1
130,0.005256563,0.00540937,0.004095229,0.00216986,0.477648046,0.815614826,시흥1동,2
131,0.003840865,0.005121153,0.003034757,0.000948362,-0.78112102,-0.766110252,시흥2동,1
132,0.003444424,0.00549246,0.003258239,0.002048036,-1.200340047,-1.392516981,시흥3동,1
133,0.004493162,0.005085666,0.00375253,0.002370019,-0.707173898,-0.72635875,시흥4동,1
134,0.004141547,0.007287025,0.003931848,0.002463958,-0.649350584,-0.689171861,시흥5동,1
135,0.004602146,0.005255705,0.002913785,0.002124067,0.785112399,1.300967839,공릉1동,0
136,0.004834849,0.003638104,0.003087602,0.000957396,1.684153733,1.338795881,공릉2동,0
137,0.005441224,0.002693675,0.004794742,0.001185217,0.177967602,-0.660961118,상계10동,2
138,0.003484505,0.005992292,0.003194129,0.001636661,0.284718335,0.559153524,상계1동,2
139,0.003122325,0.005086368,0.002366924,0.001561162,-0.423617262,-0.398088284,상계2동,1
140,0.003354799,0.007982108,0.002660703,0.002390776,-0.581519388,-0.45643323,상계3.4동,1
141,0.003104157,0.00629221,0.002726624,0.002307144,-0.397485572,-0.314738361,상계5동,2
142,0.005303568,0.004255188,0.004471031,0.001572569,0.322525887,0.765604872,상계6.7동,2
143,0.013771281,0.003788216,0.012746234,0.001158749,-0.126716784,0.05392476,상계8동,2
144,0.006119528,0.004490944,0.00380003,0.00143118,-0.566507566,-0.376289073,상계9동,2
145,0.003807578,0.005572065,0.0028789,0.001996657,-0.274611029,-0.017243251,월계1동,2
146,0.004812429,0.007048124,0.002993558,0.001705191,-0.525920048,-0.298068376,월계2동,2
147,0.006496567,0.005655042,0.004241282,0.001447422,-0.106145028,0.146891982,월계3동,2
148,0.001201336,0.003341217,0.001051169,0.000901002,-0.22735159,-0.058277059,중계1동,1
149,0.004366297,0.00808355,0.003717253,0.00132759,-0.198439933,0.280251859,중계2.3동,2
150,0.002931662,0.006419329,0.002527295,0.001668015,-0.858404104,-0.758416413,중계4동,1
151,0.001847032,0.004071866,0.001217362,0.00125934,-0.445856998,-0.191636936,중계본동,1
152,0.002830258,0.004962141,0.002462692,0.001323238,-0.340218251,-0.049942067,하계1동,2
153,0.002706422,0.005,0.002889908,0.001238532,-0.775561086,-0.659037658,하계2동,1
154,0.002632965,0.008616975,0.002537221,0.00229786,-0.464760773,-0.519266249,도봉1동,1
155,0.005025503,0.007650765,0.003037804,0.002175218,-0.049433701,0.218701146,도봉2동,2
156,0.002974004,0.006087961,0.002659109,0.002064308,0.217443133,0.157150434,방학1동,2
157,0.002659438,0.007978315,0.003170869,0.002608295,-0.603759124,-0.600051559,방학2동,1
158,0.003496503,0.004463621,0.002789763,0.001264693,-0.560391639,-0.339743338,방학3동,1
159,0.003935717,0.006184698,0.003045495,0.002061566,-0.350226132,-0.397447131,쌍문1동,2
160,0.004065911,0.006580355,0.003423925,0.002781939,-0.536483923,-0.558376597,쌍문2동,1
161,0.003407461,0.005559541,0.003347681,0.00173362,-0.494228424,-0.721229524,쌍문3동,1
162,0.002645931,0.004427885,0.002591933,0.002213942,-0.814480625,-0.77765101,쌍문4동,1
163,0.004227127,0.005771654,0.002926472,0.001666463,-0.236803478,-0.102516634,창1동,2
164,0.004624038,0.005003623,0.003485282,0.001897926,0.036745277,0.172538112,창2동,2
165,0.002831216,0.007259528,0.002903811,0.00246824,-0.961818877,-1.065528821,창3동,1
166,0.004997539,0.00514898,0.003028812,0.001135804,-0.359122027,-0.126880457,창4동,2
167,0.005025536,0.005434116,0.003677222,0.001430031,-0.283506924,-0.170478879,창5동,2
168,0.008253902,0.003833402,0.004765852,0.001450477,0.547147222,0.441181325,답십리1동,2
169,0.007218291,0.005440387,0.004018064,0.001208975,-0.178980164,0.095599722,답십리2동,2
170,0.004025814,0.00590043,0.005285802,0.001936079,1.832603972,1.394576214,용신동,0
171,0.002313285,0.005617978,0.002423441,0.001046486,0.003941666,-0.108928166,이문1동,2
172,0.00436287,0.005466125,0.002557545,0.00120355,-0.659914458,-0.705200692,이문2동,1
173,0.005424813,0.005005503,0.004271712,0.001886891,0.970814196,1.066946901,장안1동,0
174,0.00656172,0.004590124,0.00308062,0.002248852,0.247466777,0.418099808,장안2동,2
175,0.005299563,0.006366358,0.004783372,0.001995939,0.212995186,0.443745938,전농1동,2
176,0.004393339,0.006617129,0.002223789,0.001247491,-0.974606725,-0.981537745,전농2동,1
177,0.004056795,0.008438134,0.003204868,0.001257606,0.241906843,0.13663353,제기동,2
178,0.002984916,0.009221257,0.002611801,0.002451895,-0.711065851,-0.538500846,청량리동,1
179,0.002646253,0.004725451,0.003213307,0.00094509,-0.423061268,-0.746234501,회기동,1
180,0.005425084,0.004711257,0.003283603,0.001284888,-0.160632381,-0.593640026,휘경1동,2
181,0.003519669,0.004140787,0.002443064,0.00173913,0.295838203,0.199466549,휘경2동,2
182,0.005457283,0.005300464,0.003983189,0.001097729,1.468428292,1.610644861,노량진1동,0
183,0.00317965,0.008229683,0.003273169,0.001683344,-0.49033647,0.377707153,노량진2동,2
184,0.003649635,0.004522374,0.003676082,0.001216545,1.094800725,1.53755339,대방동,0
185,0.004737881,0.003465672,0.006536521,0.001930248,0.845159687,0.91499358,사당1동,0
186,0.006675662,0.004438605,0.004687167,0.001313827,0.934674625,0.434769793,사당2동,0
187,0.006782587,0.004727258,0.003658486,0.001068771,0.011725574,0.2193423,사당3동,2
188,0.006067447,0.003809793,0.004656413,0.001340483,-0.556499685,-0.649420359,사당4동,1
189,0.007404844,0.003944637,0.007128028,0.001453287,-0.766665192,-0.88985283,사당5동,1
190,0.0041168,0.00440925,0.003689373,0.001034824,2.068345175,2.797419533,상도1동,0
191,0.006655931,0.003721596,0.003327966,0.001037753,1.704169496,1.593333723,상도2동,0
192,0.005330053,0.005699057,0.004428044,0.001599016,0.205767272,0.299486456,상도3동,2
193,0.005807242,0.00486269,0.003358405,0.001679202,0.494327849,0.580952735,상도4동,2
194,0.004514869,0.004384632,0.003907098,0.001258954,-0.327986396,-0.253187648,신대방1동,2
195,0.004909984,0.003409711,0.003091471,0.000954719,0.776772498,0.028919783,신대방2동,2
196,0.005332567,0.005045183,0.003480538,0.001117604,0.434280561,0.698924934,흑석동,2
197,0.004528424,0.005175342,0.004258875,0.001455565,1.247698911,1.72092322,공덕동,0
198,0.004330195,0.004467661,0.005154993,0.001099732,0.06176498,-0.218565373,대흥동,2
199,0.007469432,0.005138208,0.00523336,0.001474856,-0.317422521,-0.273063399,도화동,2
200,0.004313588,0.00551738,0.004363746,0.001454582,-0.257375234,-0.046736301,망원1동,2
201,0.004427646,0.004211663,0.003887689,0.001889849,-0.528144022,-0.544912379,망원2동,1
