기간,자치구,동,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
기간,자치구,동,합계,주택,주택,주택,주택,아파트,연립주택,다세대주택,비거주용건물내주택
기간,자치구,동,합계,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
2020,강북구,송천동,"7,165","3,011",909,"1,734",368,"1,255",208,"2,568",123
2020,강북구,삼각산동,"11,376",50,13,21,16,"11,291",X,24,11
2020,강북구,우이동,"7,122","1,134",425,573,136,856,640,"4,415",77
2020,강북구,인수동,"10,128","1,817",566,968,283,670,"1,089","6,427",125
2020,도봉구,소계,"107,156","8,634","1,412","5,586","1,636","65,032","4,144","28,620",726
2020,도봉구,쌍문1동,"7,530",948,338,499,111,"1,971",753,"3,811",47
2020,도봉구,쌍문2동,"6,473",645,125,418,102,"2,973",270,"2,533",52
2020,도봉구,쌍문3동,"5,022",814,120,555,139,"1,930",171,"2,055",52
2020,도봉구,쌍문4동,"6,835",91,38,39,14,"6,120",88,525,11
2020,도봉구,방학1동,"8,331","1,070",55,781,234,"4,495",352,"2,314",100
2020,도봉구,방학2동,"6,149","1,072",70,782,220,234,845,"3,907",91
2020,도봉구,방학3동,"9,698",65,38,11,16,"9,237",45,337,14
2020,도봉구,창1동,"9,024",399,37,272,90,"7,314",293,976,42
2020,도봉구,창2동,"8,798",665,52,443,170,"2,942",343,"4,788",60
2020,도봉구,창3동,"3,977","1,083",161,692,230,"1,163",120,"1,571",40
2020,도봉구,창4동,"10,132",X,X,X,X,"10,045",48,38,X
2020,도봉구,창5동,"8,681",146,15,101,30,"6,948",112,"1,428",47
2020,도봉구,도봉1동,"6,964","1,140",247,693,200,"1,107",659,"3,922",136
2020,도봉구,도봉2동,"9,542",495,116,300,79,"8,553",45,415,34
2020,노원구,소계,"189,213","6,619","2,132","3,332","1,155","163,502","3,448","14,948",696
2020,노원구,월계1동,"7,568",638,151,392,95,"4,503",239,"2,124",64
2020,노원구,월계2동,"11,477",131,19,85,27,"10,866",173,294,13
2020,노원구,월계3동,"12,688",45,14,25,6,"12,617",X,16,10
2020,노원구,공릉2동,"12,923",538,47,378,113,"10,880",325,"1,122",58
2020,노원구,하계1동,"10,466",152,32,67,53,"9,283",440,560,31
2020,노원구,하계2동,"8,160",X,X,X,X,"8,160",X,X,X
2020,노원구,중계본동,"8,088",767,690,45,32,"6,158",192,933,38
2020,노원구,중계1동,"8,743",X,X,X,X,"8,733",X,X,6
2020,노원구,중계4동,"7,706",95,29,44,22,"7,317",25,230,39
2020,노원구,상계1동,"13,410",326,38,183,105,"10,902",418,"1,686",78
2020,노원구,상계2동,"6,042",674,44,452,178,"3,908",200,"1,181",79
2020,노원구,상계5동,"7,347","1,044",114,736,194,"4,133",202,"1,873",95
2020,노원구,상계8동,"9,090",X,X,X,X,"9,090",X,X,X
2020,노원구,상계9동,"8,260",X,X,X,X,"8,258",X,X,X
2020,노원구,상계10동,"6,422",X,X,X,X,"6,422",X,X,X
2020,노원구,상계3.4동,"9,292","1,410",925,411,74,"5,308",871,"1,647",56
2020,노원구,상계6.7동,"13,648",X,X,X,X,"13,647",X,X,X
2020,노원구,중계2.3동,"14,301",X,X,X,X,"14,245",56,X,X
2020,노원구,공릉1동,"13,582",794,27,512,255,"9,072",307,"3,282",127
2020,은평구,소계,"150,658","14,937","4,223","8,111","2,603","59,438","5,830","69,210","1,243"
2020,은평구,녹번동,"12,546","1,058",199,681,178,"5,206",540,"5,653",89
2020,은평구,불광1동,"13,601","1,113",373,573,167,"7,280",489,"4,643",76
2020,은평구,갈현1동,"7,330","1,482",659,635,188,928,493,"4,315",112
2020,은평구,갈현2동,"9,400",930,260,468,202,"1,406",413,"6,533",118
2020,은평구,구산동,"10,543",738,228,351,159,"2,645",571,"6,531",58
2020,은평구,대조동,"8,662","1,190",246,698,246,"2,061",159,"5,134",118
2020,은평구,응암1동,"7,341",607,110,362,135,"2,762",198,"3,697",77
2020,은평구,응암2동,"9,263",466,112,282,72,"7,485",57,"1,224",31
2020,은평구,신사1동,"9,417",589,155,267,167,"2,999",476,"5,291",62
2020,은평구,신사2동,"6,580","1,056",347,571,138,"2,394",383,"2,690",57
2020,은평구,증산동,"4,864",771,236,436,99,"1,857",600,"1,598",38
2020,은평구,수색동,"3,114",280,138,102,40,"2,192",150,467,25
2020,은평구,진관동,"17,146",257,205,32,20,"16,634",220,20,15
2020,은평구,불광2동,"8,970","1,618",480,958,180,882,483,"5,920",67
2020,은평구,응암3동,"6,999","1,294",176,873,245,925,105,"4,551",124
2020,은평구,역촌동,"14,882","1,488",299,822,367,"1,782",493,"10,943",176
2020,서대문구,소계,"101,036","12,600","2,726","8,128","1,746","54,132","5,461","27,910",933
2020,서대문구,천연동,"6,081",522,120,328,74,"5,109",112,306,32
2020,서대문구,홍제1동,"8,022",619,115,399,105,"4,961",553,"1,824",65
2020,서대문구,홍제3동,"4,969",881,238,513,130,"2,469",195,"1,364",60
2020,서대문구,홍제2동,"4,993",257,41,180,36,"4,109",58,545,24
2020,서대문구,홍은1동,"7,308","1,132",434,578,120,"5,041",274,808,53
2020,서대문구,홍은2동,"9,267",959,154,689,116,"2,514",895,"4,840",59
2020,서대문구,남가좌1동,"5,609",43,X,23,19,"5,250",186,104,26
2020,서대문구,남가좌2동,"8,979",995,87,705,203,"5,759",124,"2,023",78
2020,서대문구,북가좌1동,"6,089",286,24,231,31,"4,770",192,821,20
2020,서대문구,북가좌2동,"10,603","1,197",101,904,192,"2,016",737,"6,556",97
2020,서대문구,충현동,"6,573","1,350",541,684,125,"3,197",544,"1,428",54
2020,서대문구,북아현동,"5,298",702,188,433,81,"4,099",95,360,42
2020,서대문구,신촌동,"5,570","1,114",182,704,228,"1,565",249,"2,476",166
2020,서대문구,연희동,"11,675","2,543",500,"1,757",286,"3,273","1,247","4,455",157
2020,마포구,소계,"122,311","11,618","2,855","6,332","2,431","70,307","3,142","35,643","1,601"
2020,마포구,용강동,"7,309",218,60,98,60,"6,067",72,899,53
2020,마포구,대흥동,"3,335","1,066",320,602,144,"1,591",6,601,71
2020,마포구,염리동,"3,186",564,186,281,97,"1,931",24,626,41
2020,마포구,신수동,"7,508",651,119,381,151,"5,227",171,"1,387",72
2020,마포구,서교동,"9,189","1,361",275,710,376,"2,420",355,"4,613",440
2020,마포구,합정동,"6,319",666,108,430,128,"1,070",282,"4,164",137
2020,마포구,망원1동,"7,047",920,158,556,206,"1,492",434,"4,082",119
2020,마포구,망원2동,"6,467",421,32,248,141,"2,629",262,"3,054",101
2020,마포구,연남동,"5,648","1,174",297,658,219,881,250,"3,210",133
2020,마포구,성산1동,"6,662",761,152,448,161,654,474,"4,681",92
2020,마포구,성산2동,"13,092",462,79,315,68,"9,927",340,"2,318",45
2020,마포구,상암동,"9,956",347,91,136,120,"8,966",40,570,33
2020,마포구,도화동,"7,170",510,141,271,98,"6,067",38,520,35
2020,마포구,서강동,"8,454",610,124,364,122,"5,609",178,"1,973",84
2020,마포구,공덕동,"11,878","1,657",621,778,258,"7,071",203,"2,839",108
2020,마포구,아현동,"9,091",230,92,56,82,"8,705",13,106,37
2020,양천구,소계,"143,769","7,698",617,"5,319","1,762","90,788","4,042","40,382",859
2020,양천구,목1동,"7,768",132,17,72,43,"7,368",42,197,29
2020,양천구,목2동,"10,552",586,57,402,127,"2,889",512,"6,498",67
2020,양천구,목3동,"7,164",555,59,360,136,"2,243",124,"4,188",54
2020,양천구,목4동,"7,503",637,34,438,165,"2,833",282,"3,680",71
2020,양천구,신월1동,"6,314","1,106",81,810,215,"1,330",445,"3,320",113
2020,양천구,신월2동,"7,374",273,9,186,78,"3,882",808,"2,368",43
2020,양천구,신월3동,"4,371","1,147",133,854,160,"1,167",156,"1,854",47
2020,양천구,신월4동,"6,145",177,8,98,71,"3,416",377,"2,150",25
2020,양천구,신월5동,"4,715",470,31,324,115,"1,457",388,"2,355",45
2020,양천구,신월6동,"5,099",54,X,21,32,"4,413",49,569,14
2020,양천구,신월7동,"8,547",66,X,15,48,"3,291",187,"4,937",66
2020,양천구,신정1동,"6,041",287,14,161,112,"5,440",X,268,46
2020,양천구,신정2동,"6,119",312,30,187,95,"5,244",78,419,66
2020,양천구,신정3동,"15,440",549,78,422,49,"13,635",73,"1,158",25
2020,양천구,신정6동,"7,214",X,X,X,X,"7,214",X,X,X
2020,양천구,신정7동,"10,861",58,13,32,13,"10,653",X,125,25
2020,양천구,목5동,"12,391",X,X,X,X,"12,390",X,X,X
2020,양천구,신정4동,"10,151","1,289",49,937,303,"1,923",521,"6,296",122
2020,강서구,소계,"195,383","10,260","1,230","6,882","2,148","113,767","4,794","65,426","1,136"
2020,강서구,염창동,"13,248",86,9,43,34,"11,882",216,"1,015",49
2020,강서구,등촌1동,"6,384",183,16,109,58,"4,633",143,"1,382",43
2020,강서구,등촌2동,"7,009",491,60,352,79,"2,717",472,"3,291",38
2020,강서구,등촌3동,"13,522",10,X,X,6,"13,287",X,211,14
2020,강서구,화곡본동,"12,605",730,120,456,154,"1,064",630,"10,103",78
2020,강서구,화곡2동,"6,093",661,54,488,119,338,96,"4,930",68
2020,강서구,화곡3동,"6,665",478,24,370,84,"3,463",108,"2,580",36
2020,강서구,화곡4동,"7,053",831,60,587,184,694,179,"5,270",79
2020,강서구,화곡6동,"8,085",560,44,391,125,"3,117",692,"3,641",75
2020,강서구,화곡8동,"9,035",652,71,448,133,734,329,"7,273",47
2020,강서구,가양1동,"7,921",84,14,42,28,"6,733",359,713,32
2020,강서구,가양2동,"7,085",X,X,X,X,"7,082",X,X,X
2020,강서구,가양3동,"7,454",X,X,X,X,"7,454",X,X,X
2020,강서구,발산1동,"12,284",242,8,184,50,"9,143",470,"2,389",40
2020,강서구,공항동,"7,888","1,329",152,822,355,"3,044",133,"3,319",63
2020,강서구,방화1동,"13,673",916,112,628,176,"10,024",144,"2,499",90
2020,강서구,방화2동,"7,532","1,218",338,737,143,"3,922",196,"2,086",110
2020,강서구,방화3동,"9,698",117,X,94,20,"8,921",90,556,14
2020,강서구,화곡1동,"18,754","1,240",118,831,291,"5,986",213,"11,128",187
2020,강서구,우장산동,"13,395",431,27,296,108,"9,529",324,"3,040",71
2020,구로구,소계,"133,012","11,474","1,563","8,163","1,748","83,459","7,388","29,852",839
2020,구로구,신도림동,"11,124",278,83,121,74,"10,552",106,137,51
2020,구로구,구로1동,"6,820",X,X,X,X,"6,700",X,112,7
2020,구로구,구로3동,"7,361",175,48,69,58,"5,481",126,"1,550",29
2020,구로구,구로4동,"8,483",717,81,490,146,"6,027",123,"1,536",80
2020,구로구,구로5동,"8,740","1,018",71,790,157,"6,811",141,676,94
2020,구로구,고척1동,"7,405",530,139,334,57,"5,556",111,"1,159",49
2020,구로구,고척2동,"8,142","1,212",112,923,177,"4,499",332,"2,029",70
2020,구로구,개봉2동,"11,045",432,28,306,98,"6,526",89,"3,961",37
2020,구로구,개봉3동,"7,266",587,67,394,126,"2,267",108,"4,234",70
2020,구로구,오류1동,"6,927",676,149,456,71,"4,262",255,"1,699",35
2020,구로구,수궁동,"8,840",334,104,182,48,"1,510","3,213","3,738",45
2020,구로구,가리봉동,"2,551",997,75,787,135,114,104,"1,290",46
2020,구로구,구로2동,"7,183","2,672",392,"1,998",282,"1,962",121,"2,307",121
2020,구로구,개봉1동,"10,967","1,285",79,996,210,"6,071",342,"3,209",60
2020,구로구,오류2동,"13,985",529,130,311,88,"9,695","1,694","2,023",44
2020,구로구,항동,"6,173",31,5,6,20,"5,426",523,192,X
2020,금천구,소계,"68,804","8,807",357,"7,273","1,177","31,689","3,914","23,859",535
2020,금천구,가산동,"6,200",625,41,461,123,"3,027",193,"2,280",75
2020,금천구,독산1동,"13,038",483,14,372,97,"10,364",48,"2,063",80
2020,금천구,독산2동,"4,931","1,355",35,"1,178",142,235,241,"3,048",52
2020,금천구,독산3동,"6,967","1,322",27,"1,089",206,"1,560",305,"3,705",75
2020,금천구,독산4동,"3,946","1,031",16,906,109,449,163,"2,263",40
2020,금천구,시흥1동,"10,181","1,500",74,"1,185",241,"4,903",309,"3,379",90
2020,금천구,시흥2동,"7,981",115,34,64,17,"7,535",16,301,14
2020,금천구,시흥3동,"4,077",162,23,108,31,425,"1,984","1,487",19
2020,금천구,시흥4동,"5,976",926,37,796,93,"1,610",453,"2,960",27
2020,금천구,시흥5동,"5,507","1,288",56,"1,114",118,"1,581",202,"2,373",63
2020,영등포구,소계,"107,366","14,276","2,107","9,783","2,386","74,957","1,487","15,474","1,172"
2020,영등포구,여의동,"10,202",X,X,X,X,"10,200",X,X,X
2020,영등포구,당산1동,"5,770",799,151,386,262,"4,083",X,762,125
2020,영등포구,당산2동,"10,563",330,50,187,93,"8,920",23,"1,219",71
2020,영등포구,양평1동,"4,229",659,347,165,147,"3,011",45,445,69
2020,영등포구,양평2동,"7,115",271,57,133,81,"4,652",155,"1,959",78
2020,영등포구,신길1동,"4,280","1,518",203,"1,132",183,"1,327",137,"1,246",52
2020,영등포구,신길3동,"4,739","1,136",140,835,161,"3,172",X,391,40
2020,영등포구,신길4동,"3,725",624,59,489,76,"2,690",X,390,21
2020,영등포구,신길5동,"2,301",798,86,653,59,610,146,718,29
2020,영등포구,신길6동,"5,043",786,74,582,130,"3,414",174,604,65
2020,영등포구,신길7동,"6,690",238,26,171,41,"6,182",37,206,27
2020,영등포구,대림1동,"4,052","1,094",75,890,129,"2,142",143,607,66
2020,영등포구,대림2동,"4,241","1,470",52,"1,235",183,"1,529",246,910,86
2020,영등포구,대림3동,"7,375","1,136",39,836,261,"4,190",40,"1,881",128
2020,영등포구,영등포본동,"6,404","1,278",263,842,173,"3,543",69,"1,463",51
2020,영등포구,영등포동,"7,586",625,194,237,194,"5,078",109,"1,626",148
2020,영등포구,도림동,"4,005","1,270",134,991,145,"1,562",126,992,55
2020,영등포구,문래동,"9,046",243,156,19,68,"8,652",36,55,60
2020,동작구,소계,"115,615","14,522","2,565","9,863","2,094","61,606","5,289","33,103","1,095"
2020,동작구,노량진2동,"2,752","1,537",361,"1,042",134,104,214,811,86
2020,동작구,상도1동,"14,737",926,149,596,181,"9,078",743,"3,845",145
2020,동작구,상도2동,"9,039",855,241,510,104,"6,058",239,"1,817",70
2020,동작구,상도3동,"7,246",998,236,630,132,953,793,"4,436",66
2020,동작구,상도4동,"8,275","1,443",353,950,140,688,663,"5,407",74
2020,동작구,사당1동,"5,780","1,226",57,889,280,550,432,"3,442",130
2020,동작구,사당3동,"7,759",592,44,444,104,"5,227",163,"1,724",53
2020,동작구,사당4동,"4,080",704,58,514,132,975,143,"2,227",31
2020,동작구,사당5동,"3,515",457,39,325,93,"1,720",195,"1,101",42
2020,동작구,대방동,"11,808","1,002",206,655,141,"7,032",394,"3,281",99
2020,동작구,신대방1동,"6,538",799,40,647,112,"4,630",102,970,37
2020,동작구,신대방2동,"5,520",690,101,514,75,"3,092",244,"1,447",47
2020,동작구,흑석동,"9,613","1,480",368,923,189,"6,822",408,836,67
2020,동작구,노량진1동,"10,612","1,055",252,659,144,"8,290",359,836,72
2020,동작구,사당2동,"8,341",758,60,565,133,"6,387",197,923,76
2020,관악구,소계,"127,568","21,249","3,564","14,545","3,140","55,417","6,218","42,770","1,914"
2020,관악구,보라매동,"6,221","1,327",232,929,166,"1,413",622,"2,778",81
2020,관악구,청림동,"5,263",484,157,288,39,"4,356",110,286,27
2020,관악구,행운동,"7,088","1,164",75,921,168,"3,530",106,"2,181",107
2020,관악구,낙성대동,"3,543",648,69,450,129,"1,422",405,981,87
