,,동,1인가구,etc,합계,1인가구비율
121,송파구,문정2동,7515,7075,14590,0.515078821
122,관악구,미성동,4186,8577,12763,0.327979315
123,강북구,미아동,4807,5715,10522,0.456852309
124,서초구,반포1동,5087,7890,12977,0.392001233
125,서초구,반포2동,314,4277,4591,0.068394685
126,서초구,반포3동,910,6126,7036,0.129334849
127,서초구,반포4동,1110,5294,6404,0.173329169
128,서초구,반포본동,354,3243,3597,0.098415346
129,강서구,발산1동,2152,10581,12733,0.16900966
130,서초구,방배1동,2318,4655,6973,0.332425068
131,서초구,방배2동,2182,5526,7708,0.283082512
132,서초구,방배3동,1472,5935,7407,0.19873093
133,서초구,방배4동,2585,6332,8917,0.289895705
134,서초구,방배본동,1683,5625,7308,0.230295567
135,송파구,방이1동,1381,4371,5752,0.240090403
136,송파구,방이2동,6641,6433,13074,0.507954719
137,도봉구,방학1동,3502,8039,11541,0.30343991
138,도봉구,방학2동,2768,5705,8473,0.326684763
139,도봉구,방학3동,1399,8138,9537,0.146691832
140,강서구,방화1동,3791,12395,16186,0.234214754
141,강서구,방화2동,4206,6006,10212,0.41186839
142,강서구,방화3동,3815,6549,10364,0.368101119
143,강북구,번1동,4380,4868,9248,0.473615917
144,강북구,번2동,2250,4736,6986,0.322072717
145,강북구,번3동,2002,5140,7142,0.280313638
146,용산구,보광동,3121,3522,6643,0.469817853
147,관악구,보라매동,5182,6335,11517,0.449943562
148,성북구,보문동,3011,4136,7147,0.421295649
149,종로구,부암동,1129,2644,3773,0.299231381
150,서대문구,북가좌1동,1172,5311,6483,0.180780503
151,서대문구,북가좌2동,4463,9117,13580,0.328645066
152,서대문구,북아현동,2261,4606,6867,0.329255861
153,은평구,불광1동,4730,11259,15989,0.295828382
154,은평구,불광2동,4589,7995,12584,0.364669422
155,성동구,사근동,4754,2396,7150,0.664895105
156,동작구,사당1동,6345,5705,12050,0.526556017
157,동작구,사당2동,3025,7662,10687,0.283054178
158,동작구,사당3동,2583,6939,9522,0.271266541
159,동작구,사당4동,2651,3859,6510,0.407219662
160,동작구,사당5동,2007,4085,6092,0.329448457
161,종로구,사직동,1487,2352,3839,0.387340453
162,강북구,삼각산동,2021,9014,11035,0.18314454
163,성북구,삼선동,4790,5987,10777,0.444465065
164,강남구,삼성1동,1433,3542,4975,0.288040201
165,강남구,삼성2동,4236,7633,11869,0.356896116
166,관악구,삼성동,3132,6674,9806,0.319396288
167,강북구,삼양동,3023,6802,9825,0.307684478
168,송파구,삼전동,6327,8199,14526,0.435563817
169,종로구,삼청동,380,651,1031,0.3685742
170,노원구,상계10동,1431,4817,6248,0.229033291
171,노원구,상계1동,3454,11084,14538,0.237584262
172,노원구,상계2동,2415,5546,7961,0.30335385
173,노원구,상계3.4동,3275,7609,10884,0.300900404
174,노원구,상계5동,3030,6995,10025,0.302244389
175,노원구,상계6.7동,3524,9520,13044,0.270162527
176,노원구,상계8동,1954,6784,8738,0.223620966
177,노원구,상계9동,1765,6229,7994,0.220790593
178,동작구,상도1동,8604,11563,20167,0.426637576
179,동작구,상도2동,4013,7491,11504,0.348835188
180,동작구,상도3동,4214,6688,10902,0.386534581
181,동작구,상도4동,4618,7862,12480,0.370032051
182,중랑구,상봉1동,2377,7047,9424,0.252228353
183,중랑구,상봉2동,5309,4958,10267,0.517093601
184,마포구,상암동,3741,8312,12053,0.310379159
185,강동구,상일동,1441,9543,10984,0.131190823
186,마포구,서강동,4380,6465,10845,0.403872752
187,마포구,서교동,8192,5695,13887,0.589904227
188,관악구,서림동,7735,5232,12967,0.596514228
189,용산구,서빙고동,1178,3519,4697,0.250798382
190,관악구,서원동,7607,5314,12921,0.588731522
191,서초구,서초1동,3203,5295,8498,0.376912215
192,서초구,서초2동,3238,5093,8331,0.388668827
193,서초구,서초3동,4851,8077,12928,0.375232055
194,서초구,서초4동,1529,8478,10007,0.152793045
195,성북구,석관동,5492,9927,15419,0.356183929
196,송파구,석촌동,6716,8600,15316,0.438495691
197,강동구,성내1동,1808,5705,7513,0.240649541
198,강동구,성내2동,5143,6275,11418,0.450429147
199,강동구,성내3동,3134,6420,9554,0.328030144
200,성북구,성북동,2945,4340,7285,0.404255319
201,마포구,성산1동,3506,5131,8637,0.405927984
202,마포구,성산2동,6694,10699,17393,0.384867475
203,성동구,성수1가1동,2435,4502,6937,0.35101629
204,성동구,성수1가2동,2499,3603,6102,0.409537856
205,성동구,성수2가1동,2990,4435,7425,0.402693603
206,성동구,성수2가3동,2091,2797,4888,0.427782324
207,관악구,성현동,3082,8479,11561,0.266585936
208,강남구,세곡동,4891,11848,16739,0.292191887
209,중구,소공동,435,486,921,0.472312704
210,성동구,송정동,2305,2748,5053,0.456164655
211,강북구,송중동,4548,8099,12647,0.359610975
212,강북구,송천동,4508,7426,11934,0.37774426
213,송파구,송파1동,4706,6577,11283,0.417087654
214,송파구,송파2동,1242,5743,6985,0.177809592
215,구로구,수궁동,2086,7001,9087,0.22955871
216,은평구,수색동,963,2632,3595,0.267872045
217,강남구,수서동,3083,4294,7377,0.417920564
218,강북구,수유1동,3467,5699,9166,0.378245691
219,강북구,수유2동,2674,6046,8720,0.306651376
220,강북구,수유3동,5632,5868,11500,0.48973913
221,종로구,숭인1동,1007,1615,2622,0.384057971
222,종로구,숭인2동,2988,2077,5065,0.589930898
223,금천구,시흥1동,5285,9154,14439,0.366022578
224,금천구,시흥2동,1592,6233,7825,0.203450479
225,금천구,시흥3동,1142,3226,4368,0.261446886
226,금천구,시흥4동,2417,5887,8304,0.291064547
227,금천구,시흥5동,2910,5430,8340,0.348920863
228,영등포구,신길1동,4995,4101,9096,0.54914248
229,영등포구,신길3동,2205,4656,6861,0.321381723
230,영등포구,신길4동,1475,2788,4263,0.346000469
231,영등포구,신길5동,1386,3036,4422,0.313432836
232,영등포구,신길6동,2980,4638,7618,0.391178787
233,영등포구,신길7동,1599,5623,7222,0.221406813
234,중랑구,신내1동,2426,11220,13646,0.177781035
235,중랑구,신내2동,2273,6181,8454,0.268866809
236,중구,신당5동,2182,2767,4949,0.440897151
237,중구,신당동,2223,1802,4025,0.552298137
238,동작구,신대방1동,3128,6311,9439,0.331391037
239,동작구,신대방2동,3672,5120,8792,0.417652411
240,구로구,신도림동,2324,10403,12727,0.182603913
241,관악구,신림동,11942,3584,15526,0.769161407
242,은평구,신사1동,3009,7961,10970,0.274293528
243,은평구,신사2동,2314,5918,8232,0.281098154
244,강남구,신사동,2047,4360,6407,0.319494303
245,관악구,신사동,7282,5218,12500,0.58256
246,마포구,신수동,3184,6339,9523,0.33434842
247,관악구,신원동,5505,4411,9916,0.555163372
248,양천구,신월1동,3273,5746,9019,0.362900543
249,양천구,신월2동,1749,6107,7856,0.222632383
250,양천구,신월3동,2877,4184,7061,0.40744937
251,양천구,신월4동,1151,5313,6464,0.178063119
252,양천구,신월5동,1567,4246,5813,0.269568209
253,양천구,신월6동,874,3962,4836,0.180727874
254,양천구,신월7동,2217,6098,8315,0.266626579
255,양천구,신정1동,929,5744,6673,0.139217743
256,양천구,신정2동,1148,5453,6601,0.173913044
257,양천구,신정3동,3582,13194,16776,0.213519313
258,양천구,신정4동,5522,9039,14561,0.379232196
259,양천구,신정6동,728,7068,7796,0.093381221
260,양천구,신정7동,2450,8460,10910,0.22456462
261,서대문구,신촌동,9002,3530,12532,0.718321098
262,도봉구,쌍문1동,2489,6209,8698,0.286157737
263,도봉구,쌍문2동,2457,5478,7935,0.309640832
264,도봉구,쌍문3동,2761,4602,7363,0.374983023
265,도봉구,쌍문4동,1238,5530,6768,0.182919622
266,마포구,아현동,2269,7191,9460,0.239852009
267,성북구,안암동,5964,3300,9264,0.643782383
268,강동구,암사1동,4551,9880,14431,0.315362761
269,강동구,암사2동,1481,4422,5903,0.250889378
270,강동구,암사3동,707,5174,5881,0.12021765
271,강남구,압구정동,1822,7380,9202,0.198000435
272,중구,약수동,2054,4871,6925,0.296606498
273,서초구,양재1동,4776,11970,16746,0.285202436
274,서초구,양재2동,3938,5777,9715,0.405352548
275,영등포구,양평1동,3721,4516,8237,0.451742139
276,영등포구,양평2동,3391,6043,9434,0.359444562
277,영등포구,여의동,2672,9264,11936,0.22386059
278,강남구,역삼1동,12735,7621,20356,0.62561407
279,강남구,역삼2동,4735,9111,13846,0.341976022
