,자치구,동,계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택,cluster_h_r
325,동작구,상도1동,926,149,596,181,9078,743,3845,145,1
326,동작구,상도2동,855,241,510,104,6058,239,1817,70,2
327,동작구,상도3동,998,236,630,132,953,793,4436,66,1
328,동작구,상도4동,1443,353,950,140,688,663,5407,74,0
329,동작구,사당1동,1226,57,889,280,550,432,3442,130,0
330,동작구,사당3동,592,44,444,104,5227,163,1724,53,1
331,동작구,사당4동,704,58,514,132,975,143,2227,31,1
332,동작구,사당5동,457,39,325,93,1720,195,1101,42,1
333,동작구,대방동,1002,206,655,141,7032,394,3281,99,2
334,동작구,신대방1동,799,40,647,112,4630,102,970,37,1
335,동작구,신대방2동,690,101,514,75,3092,244,1447,47,0
336,동작구,흑석동,1480,368,923,189,6822,408,836,67,1
337,동작구,노량진1동,1055,252,659,144,8290,359,836,72,0
338,동작구,사당2동,758,60,565,133,6387,197,923,76,1
340,관악구,보라매동,1327,232,929,166,1413,622,2778,81,0
341,관악구,청림동,484,157,288,39,4356,110,286,27,1
342,관악구,행운동,1164,75,921,168,3530,106,2181,107,0
343,관악구,낙성대동,648,69,450,129,1422,405,981,87,0
344,관악구,중앙동,950,226,567,157,1013,157,1398,73,2
345,관악구,인헌동,831,54,593,184,1319,692,3925,82,1
346,관악구,남현동,478,38,353,87,2093,529,2135,42,0
347,관악구,서원동,979,82,784,113,785,448,3171,71,2
348,관악구,신원동,1359,87,1121,151,677,82,1653,87,0
349,관악구,서림동,1039,94,779,166,1763,274,1951,125,2
350,관악구,신사동,1654,51,1342,261,297,134,2034,92,1
351,관악구,신림동,829,151,490,188,1244,14,1965,190,1
352,관악구,난향동,445,82,336,27,3873,79,525,16,0
353,관악구,조원동,858,16,631,211,1231,130,1832,129,1
354,관악구,대학동,1102,85,812,205,2006,232,826,234,2
355,관악구,은천동,1033,296,568,169,6053,246,3079,108,1
356,관악구,성현동,375,115,212,48,8669,129,1368,37,0
357,관악구,청룡동,1220,122,854,244,4392,456,1732,121,0
358,관악구,난곡동,1496,191,1168,137,915,715,4470,63,1
359,관악구,삼성동,1844,1127,619,98,4712,233,1010,34,0
360,관악구,미성동,1134,214,728,192,3654,425,3470,108,0
362,서초구,서초1동,443,118,250,75,4527,239,1436,90,0
363,서초구,서초2동,97,5,67,25,6285,81,387,51,0
364,서초구,서초3동,316,30,200,86,6096,661,2844,123,2
365,서초구,서초4동,19,0,13,5,9077,48,72,8,0
366,서초구,잠원동,231,11,151,69,10436,123,608,96,0
367,서초구,반포본동,0,0,0,0,3660,0,0,0,1
368,서초구,반포1동,478,12,383,83,6526,309,2047,69,1
369,서초구,반포2동,0,0,0,0,4702,0,0,0,1
370,서초구,반포3동,6,0,0,5,7177,0,0,0,1
371,서초구,반포4동,118,24,68,26,3834,967,1211,62,1
372,서초구,방배본동,314,41,200,73,3500,159,1697,73,0
373,서초구,방배1동,399,29,311,59,1952,265,2841,82,0
374,서초구,방배2동,776,49,615,112,2125,189,2147,69,2
375,서초구,방배3동,326,54,236,36,4384,327,1758,33,0
376,서초구,방배4동,463,79,267,117,3778,259,3107,105,1
377,서초구,양재1동,516,139,298,79,10799,869,2244,133,1
378,서초구,양재2동,386,10,242,134,909,844,4463,240,1
379,서초구,내곡동,593,269,277,47,4732,16,69,25,0
381,강남구,신사동,343,25,210,108,3582,107,786,130,0
382,강남구,논현1동,854,64,620,170,1800,962,4278,219,1
383,강남구,논현2동,616,60,413,143,2852,676,2812,176,1
384,강남구,삼성1동,217,92,81,44,3111,384,832,51,1
385,강남구,삼성2동,370,21,279,70,6887,149,2685,87,1
386,강남구,대치1동,5,0,0,0,6868,12,44,6,1
387,강남구,대치4동,464,13,343,108,1985,130,3861,124,0
388,강남구,역삼1동,1217,152,806,259,2678,972,6915,213,1
389,강남구,역삼2동,297,25,228,44,8691,258,2561,55,0
390,강남구,도곡1동,129,11,84,34,5802,187,664,58,1
391,강남구,도곡2동,45,0,22,21,9727,126,245,70,1
392,강남구,개포1동,7,0,0,0,1499,0,102,0,1
393,강남구,개포4동,258,5,174,79,3451,481,3031,188,1
394,강남구,일원본동,104,7,97,0,6884,291,0,0,1
395,강남구,일원1동,506,32,383,91,3033,7,1178,68,1
396,강남구,일원2동,0,0,0,0,6678,0,0,0,0
397,강남구,수서동,58,31,22,5,7185,0,0,0,1
398,강남구,세곡동,758,228,466,64,11467,199,163,9,1
399,강남구,압구정동,170,20,76,74,7842,247,496,101,2
400,강남구,청담동,361,34,239,88,7322,570,1356,122,1
401,강남구,대치2동,127,10,81,36,9998,60,889,35,1
402,강남구,개포2동,62,6,40,16,6681,9,292,19,0
404,송파구,풍납1동,892,33,767,92,1596,204,562,42,1
405,송파구,풍납2동,499,14,378,107,5535,178,1341,55,1
406,송파구,거여1동,410,9,311,90,1542,212,1345,43,1
407,송파구,거여2동,306,14,249,43,4442,61,544,29,1
408,송파구,마천1동,986,145,689,152,2326,171,1748,68,1
409,송파구,마천2동,938,184,614,140,1321,404,2595,96,1
410,송파구,방이1동,127,0,70,57,2146,310,2250,88,1
411,송파구,방이2동,342,7,233,102,1212,621,5948,91,1
412,송파구,오륜동,0,0,0,0,5540,0,0,0,1
413,송파구,오금동,367,0,228,136,7216,560,4674,146,1
414,송파구,송파1동,405,0,280,123,1267,393,7168,102,1
415,송파구,송파2동,120,0,87,33,4575,155,1705,28,1
416,송파구,석촌동,510,7,360,143,1066,423,9931,161,1
417,송파구,삼전동,477,0,364,113,479,284,10168,89,1
418,송파구,가락본동,332,0,171,158,4975,231,2742,130,1
419,송파구,가락1동,0,0,0,0,9716,0,0,0,1
420,송파구,가락2동,273,0,156,116,6417,188,3452,94,0
421,송파구,문정1동,223,0,122,101,3181,187,3102,90,1
422,송파구,문정2동,0,0,0,0,5606,0,0,0,1
423,송파구,잠실본동,593,5,449,139,1145,124,7576,145,1
424,송파구,잠실4동,0,0,0,0,6864,0,0,0,1
425,송파구,잠실6동,0,0,0,0,5372,0,0,0,0
426,송파구,잠실7동,0,0,0,0,3198,0,0,0,1
427,송파구,잠실2동,0,0,0,0,11241,0,0,0,1
428,송파구,잠실3동,0,0,0,0,11046,0,0,0,0
429,송파구,장지동,269,0,177,89,8253,194,2945,71,0
430,송파구,위례동,0,0,0,0,9962,0,0,0,1
432,강동구,강일동,31,18,7,6,11638,0,76,0,0
433,강동구,상일동,242,5,119,118,8953,582,658,37,1
434,강동구,명일1동,253,6,166,81,6765,119,1050,61,1
435,강동구,명일2동,152,0,84,66,4196,0,255,26,0
436,강동구,고덕1동,324,22,237,65,6854,0,315,43,1
437,강동구,고덕2동,555,14,441,100,5589,0,426,35,1
438,강동구,암사2동,177,22,111,44,4139,16,855,27,1
439,강동구,암사3동,209,85,104,20,4808,38,512,16,1
440,강동구,천호1동,1009,22,808,179,2612,388,3958,68,1
441,강동구,천호3동,995,85,785,125,4651,204,2084,30,1
442,강동구,성내1동,187,0,113,70,3288,317,2863,112,0
443,강동구,성내2동,1244,44,902,298,1775,124,2950,106,1
444,강동구,성내3동,573,7,400,166,2730,148,3151,83,0
445,강동구,둔촌1동,5,0,0,0,0,0,0,0,1
446,강동구,둔촌2동,543,31,377,135,5011,154,2187,67,2
447,강동구,암사1동,1139,20,889,230,2790,247,5829,84,2
448,강동구,천호2동,1488,103,1134,251,2641,189,4901,143,1
449,강동구,길동,830,16,590,224,8719,588,4492,147,1
