,STDR_YM_CD,TRDAR_SE_C,TRDAR_SE_1,TRDAR_NO,TRDAR_NM,XCNTS_VALU,YDNTS_VALU,SIGNGU_CD,ADSTRD_CD,geometry
1100,202112,D,발달상권,2120127,구로구청,190329.0,444187.0,11530,11530560,"POLYGON ((190197.53 443937.83, 190168.13 443986.71, 190117.15 444061.29, 190150.94 444084.53, 190180.5 444046.84, 190198.93 444058.79, 190184.13 444081.07, 190301.2 444157.06, 190422.84 444236.04, 190402.36 444266.64, 190368.51 444317.22, 190356.57 444335.09, 190286.7 444443.48, 190322.72 444467.99, 190350.1 444426.22, 190371.45 444393.63, 190411.54 444420.37, 190434.79 444385.17, 190540.43 444228.17, 190462.06 444177.52, 190460.69 444176.57, 190505.85 444108.23, 190507.86 444102.19, 190503.86 444099.27, 190461.64 444066.76, 190440.25 444052.97, 190422.12 444041.28, 190390.19 444020.63, 190376.65 444011.86, 190351.45 443995.22, 190334.51 443984.1, 190216.49 443906.34, 190197.53 443937.83))"
1101,202112,D,발달상권,2120150,63빌딩,194646.0,446701.0,11560,11560540,"POLYGON ((194520.17 446677.43, 194570.62 446717.46, 194632.67 446766.69, 194658.33 446787.02, 194721.05 446836.75, 194763.13 446782.26, 194776.7 446737.09, 194777.91 446693.79, 194772.2 446646.54, 194756.98 446610.75, 194721.14 446566.12, 194727.2 446575, 194684.42 446630.73, 194654.85 446614.23, 194621.31 446653.19, 194565.45 446609.97, 194514.87 446673.31, 194520.17 446677.43))"
1102,202112,D,발달상권,2120008,인사동,198702.0,452694.0,11110,11110615,"POLYGON ((198903.67 452559.69, 198894.95 452495.59, 198916.1 452493.13, 198905.94 452434.52, 198908.79 452354.42, 198836.42 452503.41, 198748.38 452468.66, 198738.81 452478.56, 198717.35 452465.83, 198687.51 452448.07, 198642.57 452439.03, 198619.29 452529.42, 198502.14 452493.42, 198500.12 452550.71, 198498.81 452597.83, 198498.3 452616.63, 198495.57 452688.42, 198486.95 452890.59, 198520.37 452891.94, 198610.52 452942.78, 198724.85 453007.19, 198777.75 453034.12, 198834.05 452841.65, 198855.82 452786.38, 198914.29 452666.25, 198915.83 452663.07, 198896.55 452653.99, 198910.31 452620.76, 198903.67 452559.69))"
1103,202112,D,발달상권,2120021,시청역_8번,197721.0,451370.0,11140,11140520,"POLYGON ((197603.06 451132.17, 197520.44 451122.92, 197513.26 451148.53, 197499.45 451197.7, 197496.36 451232.98, 197535.44 451245.77, 197508.39 451297.61, 197560.77 451327.17, 197538.34 451355.43, 197506.83 451385.66, 197479.71 451435, 197586.27 451464.95, 197623.54 451475.41, 197716.09 451515.39, 197912.3 451602.42, 197963.14 451617.27, 197959.27 451601.98, 197933.55 451510.7, 197904.31 451418.95, 197892.53 451380.01, 197888.07 451365.28, 197842.27 451213.53, 197790.42 451192.86, 197776.01 451185.08, 197723.66 451153.21, 197709.4 451144.49, 197603.06 451132.17))"
1104,202112,D,발달상권,2120006,종각역,198542.0,452311.0,11110,11110615,"POLYGON ((198909.92 452145.67, 198907.07 452069.89, 198905.85 452070, 198839.33 452073.73, 198749.31 452090.53, 198742.04 452092.2, 198621.64 452120.17, 198583.87 452127.77, 198582.15 452128.06, 198481.71 452148.12, 198479.21 452148.66, 198321.54 452163.67, 198218.53 452172.95, 198169.36 452177.43, 198172.7 452295.28, 198169.35 452545.38, 198236.16 452552.34, 198244.84 452543.56, 198280.77 452535.88, 198341.85 452519.53, 198429.3 452504.08, 198502.14 452493.42, 198619.29 452529.42, 198642.57 452439.03, 198687.51 452448.07, 198717.35 452465.83, 198738.81 452478.56, 198748.38 452468.66, 198836.42 452503.41, 198908.79 452354.42, 198911.15 452294.07, 198915.56 452294.24, 198913.11 452230.27, 198911.31 452182.31, 198909.92 452145.67), (198404.25 452294.43, 198403.12 452285.86, 198494.13 452285.26, 198625.29 452285.28, 198741.06 452284.39, 198768.91 452284.18, 198768.93 452294.06, 198768.92 452303.12, 198732.92 452303.49, 198594.43 452304.95, 198495.66 452306.03, 198405.98 452305.26, 198404.25 452294.43))"
1105,202112,D,발달상권,2120118,마곡역(마곡),184695.0,451172.0,11500,11500603,"POLYGON ((184970.52 451110.77, 184943.97 450930.17, 184871.91 450938.97, 184805.44 450947.13, 184686.22 450961.74, 184557.3 450977.56, 184525.89 450981.41, 184487.18 450986.13, 184396.84 450997.23, 184425.58 451180.73, 184452.5 451414.14, 184726.38 451379.37, 184992.21 451348.88, 184970.52 451110.77))"
1106,202112,D,발달상권,2120100,망원역,192131.0,450679.0,11440,11440660,"POLYGON ((192140.31 450504.61, 192078.5 450480.58, 192032.38 450462.65, 192016.35 450503.86, 192032.1 450509.96, 192010.43 450560.55, 192079.04 450586.46, 192042.99 450637.89, 191981.84 450613.43, 191972.6 450636.02, 191956.54 450676.42, 192009.13 450686.16, 191945.64 450773.18, 191920.7 450808.79, 191954.69 450862.96, 191941.59 450880.7, 192001.88 450894.78, 192038.91 450841.86, 192068.2 450803.48, 192129.17 450718.19, 192151.42 450723.92, 192160.46 450726.27, 192173.56 450673.03, 192228.06 450687.61, 192224.01 450703.7, 192269.58 450715.55, 192277.1 450704.82, 192302.2 450668.96, 192341.79 450613.76, 192192.89 450529.73, 192193.45 450527.61, 192194 450525.5, 192162.63 450513.29, 192140.31 450504.61))"
1107,202112,D,발달상권,2120111,목동사거리,187899.0,448271.0,11500,11500570,"POLYGON ((188025.16 447959.51, 188028.51 447923.17, 188036.56 447829.88, 187979.88 447820.22, 187911.49 447809.55, 187907.15 447879.82, 187899.64 448002.18, 187850.49 447995.1, 187800.66 447987.94, 187796.82 448034.47, 187760.32 448028.52, 187728.78 448023.31, 187692.59 448017.73, 187690.09 448067.46, 187794.11 448083.81, 187792.81 448106.49, 187790.62 448144.47, 187888.22 448159, 187892.82 448099.3, 187957.75 448109.61, 187950.57 448220.35, 187950.46 448222.1, 187946.98 448275.57, 187944 448320.97, 187942.36 448340.15, 187876.35 448335.13, 187869.34 448459.25, 187868.44 448459.18, 187865.76 448526.02, 187870.72 448612.33, 187879.11 448731.92, 187940.03 448727.38, 187939.86 448725.57, 188007.21 448722.84, 188003.65 448663.18, 187998.42 448603, 187971.55 448604.84, 187967.77 448557.8, 187995.57 448556.22, 187993.46 448519.69, 187996.59 448469.1, 187999.22 448439.31, 188000.44 448415.7, 187987.41 448415, 187993.22 448324.25, 188076.5 448330.07, 188075.78 448319.12, 188035.31 448289.57, 188054.08 448260.77, 188006.39 448229.13, 188015.97 448118.11, 188023.65 448018.62, 188072.42 448026.08, 188107.02 448031.45, 188087.43 447968.99, 188025.16 447959.51))"
1108,202112,D,발달상권,2120075,월곡역,203773.0,455951.0,11290,11290725,"POLYGON ((203734.43 455914.3, 203762.71 455786.09, 203760.03 455785.18, 203731.01 455777.88, 203704.67 455786.03, 203658.38 455813.17, 203642.88 455780.44, 203641.54 455777.61, 203623.02 455741.29, 203600.81 455696.17, 203529.76 455788.61, 203538.24 455796.08, 203613.7 455862.45, 203664.45 455856.17, 203661.71 455899.71, 203617.54 455909.93, 203585.43 455899.27, 203575.79 455933.11, 203585.24 455972.4, 203613.2 456000.64, 203614.99 456014.47, 203542.62 456040.14, 203534.25 456047.74, 203537.45 456064.65, 203588.6 456050.69, 203663.8 456044.05, 203748.26 456062.58, 203736.12 456091.07, 203669.58 456176.12, 203674.08 456179.67, 203708.79 456206.79, 203772.33 456088.71, 203775.48 456083.37, 203839.62 456132.93, 203854.77 456145.09, 203861.48 456137.35, 203884.12 456149.96, 203922.93 456074.68, 203949.54 456093.78, 203972.8 456110.34, 203996.82 456126.41, 204015.68 456081.17, 203932.24 455998.28, 203902.97 455991.09, 203835.81 455955.69, 203809.53 455928.91, 203776.6 455961.12, 203752.1 455933.92, 203734.43 455914.3))"
1109,202112,D,발달상권,2120198,구역삼세무서,203312.0,443991.0,11680,11680640,"POLYGON ((203393.53 443829.2, 203319.78 443798.73, 203244.33 443770.49, 203170.47 443741.76, 203096.43 443713.1, 203015.9 443682.74, 202955.57 443843.18, 202954.58 443845.73, 202937.67 443889.61, 202934.81 443897.08, 202919.22 443937.61, 202898.85 443990.4, 202884.07 444028.62, 202965.22 444059.42, 202976.36 444063.78, 203037.73 444088.06, 203076.98 444102.54, 203092.55 444149.15, 203112.1 444209.23, 203180.61 444220.96, 203251.66 444233.78, 203340.2 444248.91, 203387.46 444265.85, 203473.65 444298.26, 203503.75 444218.45, 203520.92 444172.88, 203549.79 444191.06, 203600.8 444223.23, 203640.81 444248.41, 203681.11 444273.52, 203710.74 444194.08, 203739.37 444117.32, 203654.07 444065.04, 203607.84 444036.23, 203570.5 444012.96, 203582.26 443979.52, 203606.82 443912.21, 203532.17 443883.98, 203457.83 443854.51, 203393.53 443829.2))"
