,상호명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
47625,푸짐한집,음식,한식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로 58-1,126.965095541269,37.52581996862
47843,맥도날드,음식,패스트푸드,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로 142-1,126.98968317713,37.5339440693754
47898,코로비아레스토랑,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 25,127.001179621898,37.5338886883191
47965,백암순대국복족발,음식,별식/퓨전요리,서울특별시,용산구,남영동,동자동,서울특별시 용산구 후암로57길 11,126.97411418488,37.552939020625
48090,플러스타임카페,음식,커피점/카페,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로14가길 24,126.964580580587,37.5237880999158
48103,겐조라멘,음식,일식/수산물,서울특별시,용산구,한강로동,한강로2가,서울특별시 용산구 한강대로 69,126.964875118101,37.5270344495344
48193,카페라라,음식,커피점/카페,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로7길 6,126.962537232418,37.5242927748267
48221,남원추어탕,음식,한식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21길 17-6,126.963803572161,37.5267997910318
48324,해남,음식,한식,서울특별시,용산구,청파동,서계동,서울특별시 용산구 청파로85가길 9,126.968148195109,37.5522382818296
48427,피츠버거이태원본점,음식,패스트푸드,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로 223,126.998522277939,37.5354610368776
48611,동산기업,음식,기타음식업,서울특별시,용산구,이태원1동,이태원동,서울특별시 용산구 이태원로 191,126.995284215782,37.5347667565229
48861,노스트레스버거,음식,패스트푸드,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 62,126.987388311371,37.5438359220982
48883,여기래,음식,한식,서울특별시,용산구,후암동,후암동,서울특별시 용산구 후암로 37-1,126.977389152914,37.5493182038156
49005,내담해물갈비찜원효로점,음식,한식,서울특별시,용산구,원효로2동,원효로4가,서울특별시 용산구 원효로19길 20,126.952957801477,37.5329934262341
49051,원조부대고기집,음식,한식,서울특별시,용산구,한강로동,한강로1가,서울특별시 용산구 한강대로 200,126.974649143722,37.5361932511082
49056,델리카,음식,커피점/카페,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 녹사평대로46길 11,126.987521414921,37.5373405219131
49064,라온에스,음식,양식,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 64,127.005148527789,37.5332283835572
49127,쿠촐로오스테리아,음식,양식,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로 30-1,126.987164025941,37.5411759137583
49165,다정한식탁,음식,한식,서울특별시,용산구,청파동,서계동,서울특별시 용산구 만리재로 152-1,126.963956521427,37.5525439713789
49270,하나일식,음식,일식/수산물,서울특별시,용산구,이촌1동,이촌동,서울특별시 용산구 이촌로64길 61,126.967684282871,37.520220091189
49377,라이너스바베큐,음식,양식,서울특별시,용산구,용산2가동,용산동2가,서울특별시 용산구 신흥로9길 4,126.987381767291,37.5426464858124
49462,가원떡방,음식,제과제빵떡케익,서울특별시,용산구,용문동,용문동,서울특별시 용산구 새창로14길 38,126.959192961882,37.5378150713078
49663,명동칼국수,음식,분식,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로 56,126.964826791059,37.5256193830158
49715,불고기브라더스,음식,양식,서울특별시,용산구,남영동,동자동,서울특별시 용산구 한강대로 405,126.971711545358,37.5548283309992
49770,꽃술,음식,한식,서울특별시,용산구,원효로1동,원효로1가,서울특별시 용산구 원효로77길 33,126.965226201164,37.5392917445084
49792,피어커피1호점,음식,커피점/카페,서울특별시,용산구,한남동,한남동,서울특별시 용산구 이태원로54길 58-3,127.000950981545,37.5357609336944
49845,SAAP,음식,별식/퓨전요리,서울특별시,용산구,이태원2동,이태원동,서울특별시 용산구 회나무로 36,126.990579860737,37.5396103112034
